Timestamp,What kind of user are you?,Where do you work?,What country are you in?,Are you part of the U.S. Exascale Computing Project (ECP)?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many software installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How bad would it be if Spack dropped support for Python 2.6?,How bad would it be if Spack ONLY worked with Python 3?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use?,Which processors do you expect to use with Spack in the next year?,Which GPUs do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,"Rank these TBD Spack features by importance [New, backtracking concretizer]",Rank these TBD Spack features by importance [Use existing installs more aggressively],Rank these TBD Spack features by importance [Separate concretization of build dependencies ],Rank these TBD Spack features by importance [AWS/Azure/GCP/Cloud integration],"Rank these TBD Spack features by importance [Optimized, public binary packages]",Rank these TBD Spack features by importance [Better Developer features (easily develop multiple packages + 3rd party dependencies)],Rank these TBD Spack features by importance [Notifications about changes to my packages],Rank these TBD Spack features by importance [Build testing for every PR],"Rank these TBD Spack features by importance [Language virtual dependencies (e.g., depends_on(""cxx@2017:""))]",Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Windows Support],What features NOT in the prior list would you like to see?,"If we had a (virtual) workshop on Spack, would you attend? ",Have you done a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],Tell us briefly about your use case and your usual Spack workflow.,What about Spack helps you the most?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?
11/17/2020 20:32:49,Software Developer,Other Public Research Lab,Italy,No,Traditional HPC / Simulation,Word of mouth,2,"Packages, Issues",0.13,"Red Hat, CentOS","500-1,000","3.5, 3.6",Do it!,Do it!,"Spack environments, Environment Modules (TCL modules)","Environments, Module generation, Chaining, build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml","AMD, Intel",NVIDIA,"gcc, Intel Compilers, LLVM",Somewhat important,Somewhat important,Very Important,Slightly Important,Slightly Important,Very Important,Somewhat important,Somewhat important,Very Important,Not Important,Very Important,Not Important,,"Yes, I'd attend",Yes,"Documentation, Coworkers",Monthly,Probably not,Good,Good,Excellent,Excellent,"We deploy a complex sw stack on different HPC clusters, using spack as internal engine. Lot of environments stuff, lot of custom packages for customer code. At runtime, we use generated tcl modules.","Huge help in deploy complex and large  sw stacks, before spack we used and internal tool with lots of quirks, that spack resolved quickly. Good documentation and community support",Virtual packages and providers,Better develop workflow,,
11/17/2020 20:35:01,Scientist/Researcher,Other Public Research Lab,Germany,No,"Traditional HPC / Simulation, Computer Science Research",Word of mouth,3,"Packages, Core Features, Issues","0.12, develop","macOS, Ubuntu, Windows Subsystem for Linux (WSL)",10 - 100,"2.7, 3.7, 3.8",Do it!,Unacceptable,"Spack environments, Containers","Environments, build-env (debug a build), Python extensions (link python packages into interpreter prefix), Externals in packages.yaml, Concretization preferences in packages.yaml","AMD, Intel, ARM",NVIDIA,"gcc, LLVM, nvcc",Critical,Not Important,Slightly Important,Not Important,Somewhat important,Very Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Very Important,Very Important,better concretisation error reporting (i.e. hints where the error originated),"Yes, I'd present something!",No,"Documentation, Coworkers, GitHub",Monthly,Probably not,OK,Excellent,Good,Good,"Doing the sci-python installation on my Mac with it, but mostly b/c we build our containers in the lab with spack. We have a couple of meta-packages (that should be converted to environments, but who's got time for that) that we build and expose via dedicated spack view's. This gets than packaged to a singularity container and allows us to ship our software to any site we run.",not worrying about whether the rebuild of my software will work. Environments are nice too,"concretisation time and error reporting, but this may be because we are on a (maybe) year old fork, updating is a bit of a pain as we use a different binary-cache implementation (we know in advance where our packages will end up and therefore don't want to spend the time rewriting the strings. Not sure if this is upstream able though)","fix fortran support on Mac
>  microarchitecture specific optimizations are not supported yet on mixed compiler toolchains [check apple-clang@12.0.0 for further details]","no, and I think adding packages is sufficiently easy, automatically digest packages published on other package managers would be useful though (e.g. pypi -> python package automatisation for the ""nothing special needed packages"")",
11/17/2020 22:12:54,Scientist/Researcher,Other Public Research Lab,Germany,No,Traditional HPC / Simulation,Technical Paper,4,"Packages, Core Features, Documentation, Slack Discussions, Issues",develop,"macOS, Red Hat, Ubuntu",200 - 500,"2.7, 3.6, 3.7",Unacceptable  (it's the only python on important machines),Unacceptable,"spack load, Environment Modules (TCL modules)","Module generation, build-env (debug a build), Python extensions (link python packages into interpreter prefix), Externals in packages.yaml, Concretization preferences in packages.yaml","AMD, Intel",NVIDIA,"gcc, Intel Compilers, PGI, NVIDIA Compilers (new PGI), LLVM, nvcc, NAG, CCE (Cray Compilers)",Critical,Very Important,Very Important,Not Important,Not Important,Slightly Important,Somewhat important,Slightly Important,Somewhat important,Not Important,Somewhat important,Not Important,More transparent and predictable handling of preferences and externals in packages.yaml.,Maybe,No,"Documentation, Slack, Source Code",Weekly,Probably not,Good,Excellent,Good,Excellent,,,,,,
11/17/2020 20:36:25,Software Developer,Company,France,No,"Computer Science Research, Compiler Testing",Word of mouth,3,Packages,develop,"macOS, CentOS, Debian",100 - 200,3.7,Do it!,Do it!,"spack load, Environment Modules (TCL modules)",Module generation,"Intel, ARM",NVIDIA,"gcc, LLVM, nvcc",Very Important,Very Important,Somewhat important,Not Important,Slightly Important,Somewhat important,Not Important,Very Important,Critical,Critical,Very Important,Not Important,,"Yes, I'd attend",Yes,"Documentation, Coworkers",Weekly,Probably not,Good,OK,Good,Good,Used in a daily basis to manage my own software stack in multiple environments. Also used to freeze a group of packages required by in-dev projects,Its ability to support a large panel of softwares,"Currently, no support for installing & using a fresh compiler in the same workflow. This may be the solution to some scenarios requiring to install and use a patched compiler in a single command (""spack install"")",,,
11/17/2020 20:37:11,System Administrator,Cloud Provider,Czech Republic,No,"AI/ML, Bioinformatics, High Energy Physics",Presentation,1,"Mailing List, Issues",0.15,"CentOS, Debian",100 - 200,2.7,Do it!,I'd live (I can provide Python 3 somehow),Environment Modules (TCL modules),"Environments, Module generation, Concretization preferences in packages.yaml","AMD, Intel",NVIDIA,"gcc, Intel Compilers, AMD aocc",Somewhat important,Very Important,Very Important,Not Important,Not Important,Slightly Important,Slightly Important,Not Important,Somewhat important,Not Important,Slightly Important,Not Important,"support for ""holding a package"" - some extra protection for package against being deleted or renamed (re-hashed)","Yes, I'd attend",No,"Documentation, Mailing List, Coworkers",Daily,Probably,OK,Good,Good,OK,"Installing SW in central storage for Debian and Centos systems using various compilers depending on optimization needs and ability of the package building with certain compiler. Use mainly Intel (and AOCC in future), if it's not supported by SW, use GCC.",Documentation and forum,too little aggressiveness of re-using already installed packages and so re-hashing packages for every version of spack,,"wien2k, molpro, (cs)rosetta, geneious, ansys (+fluent+cfx+mechanical+hpc)","Good work, guys :) Well but why you ask about python version for running spack when spack itself is dependent on the python in environment? (https://groups.google.com/g/spack/c/RBzLouf-vGA/m/ovUKkyMUAgAJ) . I'd budled spack with some version of python suiting it's needs and then fix it to use only that if possible. Otherwise you would still have to deal with many versions of python..."
11/17/2020 20:37:48,Scientist/Researcher,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,Traditional HPC / Simulation,Used at my site,2,"Packages, Core Features, Slack Discussions",develop,"macOS, Red Hat",200 - 500,"2.7, 3.6, 3.7, 3.8",Do it!,I'd live (I can provide Python 3 somehow),spack load,"Environments, Binary Caches, build-env (debug a build), Command Extensions, Externals in packages.yaml, Concretization preferences in packages.yaml, Distributed Builds (srun spack install)","AMD, Intel, ARM","NVIDIA, AMD, Intel","gcc, Intel Compilers, NVIDIA Compilers (new PGI), LLVM, nvcc",Very Important,Very Important,Critical,Not Important,Slightly Important,Very Important,Critical,Somewhat important,Not Important,Slightly Important,Very Important,Not Important,"Specify where user config settings live (not ~/.space), parallelization of the DAG with verbose notifications of the packages being built simultaneously, ability to specify any flags we want on all the time when running spack commands in the config file (—verbose for install, -n for dev-build, etc)","Yes, I'd attend",No,"Documentation, Slack, Coworkers",Weekly,Probably not,OK,OK,OK,Good,Develop and deploy software. I try to use spack for my deployed software and I use it to establish my TPL’s for development. Currently evaluating dev-build but have a few gripes with it. Also working on a unified cache of TPL’s for developers site wide. ,,Spack rebuilding packages that don’t need to be rebuilt due to change in concretization or some other mystery. ,Clean up Cuda and nvcc-wrapper stuff. Find ways to minimize unnecessary dependency rebuilds. ,,It would be nice to have some guidelines of what to post on slack vs feature request/GitHub issue. I feel like my posts on slack have been getting ignored lately but there are so many PR’s and GitHub issues that I expect they will just be lost in the noise there too. Maybe some insight into how GitHub issues are triaged and responded to by the core developers?
11/17/2020 20:38:23,Software Developer,University HPC/Computing Center,United States,Yes,"Traditional HPC / Simulation, Computer Science Research",Birds-of-a-feather (BOF) at conference,2,Packages,develop,"macOS, Red Hat, CentOS, Ubuntu, Debian, Fedora",10 - 100,"3.6, 3.7, 3.8",Do it!,Do it!,"spack load, Spack environments, Environment Modules (TCL modules)","Environments, Module generation, build-env (debug a build), spack external find","AMD, Intel, IBM Power, ARM","NVIDIA, AMD, Intel","gcc, Intel Compilers, NVIDIA Compilers (new PGI), LLVM, AMD aocc, AMD hipclang, XL, CCE (Cray Compilers), Fujitsu Compilers",Somewhat important,Critical,Very Important,Slightly Important,Critical,Somewhat important,Somewhat important,Critical,Very Important,Somewhat important,Critical,Not Important,,Maybe,Yes,"Documentation, Coworkers",Monthly,Probably not,Good,Good,OK,OK,,,,,,
11/17/2020 20:39:04,Scientist/Researcher,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,"Traditional HPC / Simulation, Computer Science Research",Used at my site,2,No,0.15,Red Hat,1 - 10,2.7,I'd live.  (I can provide 2.7 somehow),I'd live (I can provide Python 3 somehow),Spack environments,"Environments, Concretization preferences in packages.yaml","AMD, Intel, IBM Power, ARM","NVIDIA, AMD","gcc, Intel Compilers, LLVM, AMD hipclang, nvcc, XL",Not Important,Somewhat important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Very Important,Not Important,Very Important,Not Important,,Maybe,No,Coworkers,Never,No,Bad,Bad,Bad,Bad,"Try to build my app, not getting TPLs built correctly, swear, then build TPLs  manually, try to tell Spack where my manually built TPLs are, swear more, give and use Cmake instead or ask my coworker to fix Spack",My coworker,It does not build and find TPLs correctly,"Explain clearly how to tell Spack to build TPLs and if not possible, how to tell Spack that the TPLs I want are in a given directory",,It's pretty hard to use for developers it does not really help build the TPLs properly so often I need to build the dependencies manually and then try to convince Spack that it is wrong to pick default OS versions of TPLs...
11/17/2020 20:39:40,Software Developer,University HPC/Computing Center,Germany,Yes,Traditional HPC / Simulation,Word of mouth,0,Packages,develop,"Red Hat, CentOS",1 - 10,"3.5, 3.6, 3.7",Do it!,Do it!,"Spack environments, Environment Modules (TCL modules)",Environments,"AMD, Intel, ARM","NVIDIA, AMD","gcc, Intel Compilers, Intel OneAPI / dpc++, LLVM, AMD hipclang, nvcc",Slightly Important,Somewhat important,Very Important,Not Important,Slightly Important,Very Important,Somewhat important,Critical,Very Important,Slightly Important,Critical,Slightly Important,-,"Yes, I'd attend",No,"Documentation, Slack, Coworkers",Monthly,Probably not,Good,Good,OK,Excellent,,,,,,
11/17/2020 22:10:09,Scientist/Researcher,DOE/Office of Science Lab (ORNL/ANL/LBL),United States,Yes,"Traditional HPC / Simulation, Statistics / Data Analysis, AI/ML",Word of mouth,2,Issues,develop,"Red Hat, CentOS",100 - 200,"3.7, 3.8",Do it!,Do it!,spack load,none,"AMD, Intel, IBM Power, ARM","NVIDIA, AMD, Intel","gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, NVIDIA Compilers (new PGI), LLVM, nvcc, XL, Fujitsu Compilers, armclang",Not Important,Not Important,Somewhat important,Not Important,Not Important,Not Important,Not Important,Slightly Important,Somewhat important,Not Important,Very Important,Not Important,Build packages on an air-gapped system with different arch from the login/fetch nodes.  ,No,No,"Documentation, Source Code",Monthly,No,OK,OK,Bad,OK,maintaining software system for research groups,build software with HPC specific flags,build packages on an air-gapped system.,"Make spack more like nix or guix.  Spack still has many hidden dependencies to the system, which makes the build non-deterministic and impossible to verify.",,"Spack could have started by forking nix or guix or just pkgsrc instead of making its own set of python scripts.  It left a lot of packages for its developers to maintain, and there's just not many maintainers like any of the popular package managers.  If spack could built on top of any popular package managers, it would have started much faster without reinventing the wheel to get all the packages rolling."
11/17/2020 20:41:10,Scientist/Researcher,University HPC/Computing Center,Ireland,No,Traditional HPC / Simulation,Birds-of-a-feather (BOF) at conference,1,No,0.15,"macOS, CentOS",1 - 10,3.7,Do it!,Do it!,Spack environments,"Environments, Module generation, spack containerize, build-env (debug a build)","Intel, ARM",NVIDIA,"gcc, Intel Compilers, LLVM",Not Important,Somewhat important,Somewhat important,Not Important,Very Important,Critical,Somewhat important,Somewhat important,Very Important,Not Important,Somewhat important,Not Important,,Maybe,Yes,Documentation,Daily,Probably not,Bad,OK,OK,OK,,,,"Documentation organisation, examples, and explicit API listing of all internal functionality.",,"The documentation while detailed needs better structure with clearer and more concise examples. I spend a lot of time constantly jumping between pages, and going to the github repo to see how other similar packages are built.

Good when you know how, but ramping on is extremely laborious."
11/17/2020 20:41:59,Scientist/Researcher,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,"Traditional HPC / Simulation, Computer Science Research",Word of mouth,2,No,custom fork,"Red Hat, Ubuntu, Debian",10 - 100,3.6,Do it!,Do it!,Spack environments,"Environments, Binary Caches, Externals in packages.yaml, Concretization preferences in packages.yaml","AMD, Intel, IBM Power, ARM","NVIDIA, AMD","gcc, Intel Compilers, LLVM, nvcc, Fujitsu Compilers",Very Important,Somewhat important,Slightly Important,Slightly Important,Very Important,Very Important,Critical,Critical,Somewhat important,Not Important,Not Important,Not Important,I want to demand that packages are cloned by commit id. Spack packages that references branches are not reproducible!,"Yes, I'd present something!",No,"Documentation, Slack, Coworkers",Weekly,No,OK,Excellent,OK,Excellent,"Spack environments defined and checked into a git repo with a Dockerfile. Dockerfile is based on the spack/centos container, spack buidls in Dockerfile script, then setup-env.sh runs in entrypoint at runtime. ",,"Packages that rely on moving target branches are a bad thing for my workflows. Kitware, I'm looking at you....",,,
11/17/2020 20:42:49,Scientist/Researcher,Other Public Research Lab,United States,Yes,"Traditional HPC / Simulation, Statistics / Data Analysis",Used at my site,0,Packages,"0.15, develop","macOS, CentOS",10 - 100,"3.7, 3.8",Do it!,Do it!,"spack load, Environment Modules (TCL modules)","Module generation, build-env (debug a build), Command Extensions, Externals in packages.yaml",Intel,NVIDIA,"gcc, Intel Compilers, LLVM",Somewhat important,Somewhat important,Somewhat important,Not Important,Very Important,Very Important,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Not Important,,"Yes, I'd attend",Yes,"Documentation, Source Code",Weekly,Probably,OK,Good,Good,Good,,,,Improve package developer documentation (something documenting the python classes a bit better),,
11/17/2020 20:43:42,Software Developer,DOE/Office of Science Lab (ORNL/ANL/LBL),United States,No,Bioinformatics,Used at my site,4,Core Features,develop,SuSE,100 - 200,"2.7, 3.7",Do it!,Do it!,Lmod,"Stacks (matrices in environments), spack-python (Python scripting), Externals in packages.yaml, Concretization preferences in packages.yaml",AMD,NVIDIA,"gcc, PGI, NVIDIA Compilers (new PGI), LLVM, CCE (Cray Compilers)",Critical,Critical,Somewhat important,Not Important,Slightly Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Critical,Not Important,"Better support with Cray and also have Spack help with cross-compiling. I just want to re-iterate that many complaints have been had about Spack rebuilding an entire stack especially when building for different architectures. So having quick builds is important especially when a site needs to reconstruct their entire software environment. The `packages.yaml` configuration file is suppose to help with this but any little change in the DAG makes spack rebuild these dependencies (cmake, zlib, etc) ",No,Yes,"Documentation, Slack, Coworkers",Monthly,Probably not,Good,Excellent,Good,OK,,,,,,
11/17/2020 20:44:19,Software Developer,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,Traditional HPC / Simulation,Word of mouth,2,"Packages, Core Features, Documentation, Slack Discussions",develop,"macOS, Red Hat, CentOS, Ubuntu, Windows Subsystem for Linux (WSL)",200 - 500,"2.7, 3.7, 3.8",Do it!,Do it!,Spack environments,"Environments, Externals in packages.yaml, Concretization preferences in packages.yaml, Distributed Builds (srun spack install)","AMD, Intel, IBM Power, ARM","NVIDIA, AMD, Intel","gcc, Intel Compilers, Intel OneAPI / dpc++, NVIDIA Compilers (new PGI), LLVM, AMD hipclang, nvcc, XL, CCE (Cray Compilers), armclang",Very Important,Somewhat important,Critical,Not Important,Slightly Important,Somewhat important,Very Important,Slightly Important,Very Important,Not Important,Very Important,Somewhat important,Better Rust+Cargo support! :),Maybe,No,"Documentation, Slack, Coworkers",Weekly,Probably not,Good,Excellent,OK,Excellent,,,"surprising re-concretizations, updating environments and removing old packages",improve performance on shared file systems,,
11/17/2020 20:44:55,User Support Staff,DOE/Office of Science Lab (ORNL/ANL/LBL),United States,Yes,"Traditional HPC / Simulation, Compiler Testing",Word of mouth,3,No,develop,SuSE,1 - 10,3.6,Do it!,Do it!,Environment Modules (TCL modules),Externals in packages.yaml,"AMD, Intel",NVIDIA,"gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, NVIDIA Compilers (new PGI), LLVM, AMD aocc, AMD hipclang, nvcc, CCE (Cray Compilers)",Somewhat important,Critical,Very Important,Not Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not Important,"Separate concretization of applications and build tools (e.g., CMake, tar, gzip, etc.). Just because one wants to build LAMMPS with Intel v19 does not mean that one also wants a new CMake built with Intel v19.",Maybe,Yes,Documentation,Monthly,Probably not,Good,Bad,OK,OK,"I have tried to use Spack to build the handful of applications and libraries that I support for users, like NWChem, LAMMPS, etc. I have tried both letting Spack build the entire application from the ground up (including tar, OpenSSL, ...), and also using `packages.yaml` to fill in as many external installations as possible. These two approaches have had varying levels of success, although build failures continue to be common.","It can be useful for installing packages which have a large number of dependencies, such as HPCToolkit.","The long build times due to starting at such a low level in the software stack is frustrating, as is the inevitable glut of standard system packages built many times over again, like tar, openssl, gzip, CMake, etc. Perhaps the reason for this behavior is driven by a constraint that some system relying on Spack do not have these packages installed already; but as an occasional Spack user, every system I have ever tried to use it on - both workstations and HPC systems - *does* have them installed. So at least having an option for Spack to be a bit more abstemious when it is building a package from the ground up would be very useful.","Make the default behavior to search through /usr/bin, /usr/lib64, and other 'standard' locations to resolve as many external dependencies as possible, before attempting to build anything from scratch. `spack external find` is a step in this direction, but does not seem to solve this problem as completely as it could.",,
11/17/2020 20:45:48,Scientist/Researcher,University HPC/Computing Center,United States,Yes,Traditional HPC / Simulation,Birds-of-a-feather (BOF) at conference,2,"Packages, Documentation, Slack Discussions, Mailing List, Issues",0.15,"macOS, Red Hat, CentOS, Arch",10 - 100,2.7,Do it!,I'd live (I can provide Python 3 somehow),Lmod,"Environments, Module generation, Stacks (matrices in environments), Externals in packages.yaml, Concretization preferences in packages.yaml","AMD, Intel, IBM Power","NVIDIA, AMD, Intel","gcc, Intel Compilers, Intel OneAPI / dpc++, NVIDIA Compilers (new PGI), LLVM, AMD aocc, AMD hipclang, nvcc",Critical,Very Important,Somewhat important,Not Important,Not Important,Not Important,Not Important,Somewhat important,Slightly Important,Not Important,Slightly Important,Not Important,email client :),"Yes, I'd attend",Yes,"Documentation, Slack",Monthly,Probably not,Good,Excellent,Excellent,Excellent,,fewer build scripts for large/deep software stacks,teaching people to use spack and deal with problems,,,keep up the good work
11/17/2020 20:46:32,Scientist/Researcher,University HPC/Computing Center,United States,Yes,"Traditional HPC / Simulation, Computer Science Research",Word of mouth,3,Packages,develop,"macOS, Red Hat, CentOS, Ubuntu, Debian, Fedora",10 - 100,"2.7, 3.8",Do it!,Do it!,spack load,"Module generation, build-env (debug a build)","AMD, Intel, IBM Power, ARM","NVIDIA, AMD, Intel","gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, NVIDIA Compilers (new PGI), LLVM, AMD aocc, AMD hipclang, nvcc, XL",Not Important,Critical,Not Important,Not Important,Very Important,Very Important,Critical,Critical,Very Important,Not Important,Somewhat important,Not Important,,Maybe,Yes,"Documentation, Slack, Mailing List, Coworkers",Yearly,No,OK,OK,OK,Good,,,,,,
11/17/2020 20:47:08,Scientist/Researcher,DOE/Office of Science Lab (ORNL/ANL/LBL),United States,Yes,"Traditional HPC / Simulation, AI/ML, Computer Science Research",Word of mouth,3,Packages,0.15,"Red Hat, Ubuntu, Debian, Arch",10 - 100,3.8,Do it!,Do it!,"spack load, Spack environments","Environments, Module generation","AMD, Intel, IBM Power, ARM","NVIDIA, Intel","gcc, Intel OneAPI / dpc++, NVIDIA Compilers (new PGI), LLVM, nvcc",Very Important,Critical,Critical,Slightly Important,Very Important,Critical,Somewhat important,Slightly Important,Somewhat important,Not Important,Not Important,Not Important,Better re-use of pre-installed system libraries,No,No,"Documentation, Coworkers",Yearly,Probably not,OK,Good,OK,Good,,,Long build time,Reuse of preinstalled system libraries when possible,,
11/17/2020 22:11:21,User Support Staff,DOE/Office of Science Lab (ORNL/ANL/LBL),United States,Yes,"Traditional HPC / Simulation, High Energy Physics",Word of mouth,5,"Packages, Core Features, Mailing List, Issues","0.12, 0.15, develop","Red Hat, CentOS, Arch, Amazon Linux, SuSE, Alpine","> 1,000","2.7, 3.7, 3.8",Do it!,I'd live (I can provide Python 3 somehow),"Spack environments, Lmod, Environment Modules (TCL modules)","Environments, Module generation, Chaining, Stacks (matrices in environments), Binary Caches, build-env (debug a build), spack-python (Python scripting), Command Extensions, Externals in packages.yaml, Concretization preferences in packages.yaml, spack ci (generate GitLab Pipelines)","AMD, Intel, IBM Power","NVIDIA, AMD","gcc, Intel Compilers, PGI, NVIDIA Compilers (new PGI), LLVM, AMD aocc, AMD hipclang, nvcc, XL, CCE (Cray Compilers)",Critical,Very Important,Very Important,Not Important,Slightly Important,Somewhat important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not Important,ASP concretizer,"Yes, I'd attend",Yes,"Documentation, Source Code",Weekly,Probably not,Good,Excellent,OK,Excellent,We use spack to install most facility-provided software on OLCF HPC machines. We have a single bot user that installs a cultivated list of specs (transitioning to spack environments) following curated package preferences for each of our machines under a CI process.,"The ability to define - in a single set of compact configuration files that can be kept in version control - a clear and repeatable set of package builds with sane HPC defaults and configuration options across a sufficiently wide range of build systems, compilers, and architectures using a consistent interface.","Changes to preferred package versions/options in an environment don't get applied to spec matrices without `spack concretize -f`; It could be useful though not critical, if spack could detect changes to environment-scope package preferences and re-concretize existing specs when non-trivial changes occur.

A full environment reconcretization also (at least in v0.15.0) adds a new blank line above block comments in `spack.yaml`. It would be nice if spack (by default) did not write back to `spack.yaml` and only `spack.lock` during environment concretization with an option to write back to `spack.yaml` only occasionally (eg, before `spack.yaml` is committed to a git repo) at the user's discretion to fill out missing schema fields.

It would be useful during initial provisioning to have an option on `spack install` for environments that is opposite to `--fail-fast`. Best effort will continue the build as far as it can for the current root spec/parent specs but it would be useful to pass an explicit option at the command line to allow spack to continue trying to install the rest of the environment specs rather than comment-out problem specs from an environment and fully re-concretize.

If there was at all a way to have `--pdb` drop into an ipython/jupyter shell (if available), that would be awesome. Not sure it's possible. I looked into it a little with Greg once at a hackathon and it seemed potentially possible but not critical enough to follow up on it.",CrayPE integration via json file; ASP concretizer to allow mixed-toolchain builds where duplicate dependency packages can be built with each toolchain separately where DAG nodes are either 1) not link-dependencies (usable under all compilers; e.g. build buildtime deps with GCC and application deps with PGI allowing both sub-trees in the DAG to build the same common yet isolated package) and/or 2) where the compilers are known to produce link-compatible libraries (e.g. always use GCC to build boost even if it will be linked into an application built with another compiler that is C/C++ ABI compatible such as PGI supporting the same C++ standard).,"None that we haven't been able to rapidly write for ourselves. We do tend to modify upstream packages to work around quirks in our machines and configuration preferences (notably packages like openmpi to better handle our specific scheduler, IO, and fabric preferences). However, it is often the case that our modifications are not generic or universally safe enough to feel compelled to push them upstream. I know I've been saying for years that we want to be better in this regard but our production workflow has been, historically, not conducive for making our changes easily contributable. After we've fully migrated our production deployment framework to use spack environments, the new scheme will be better suited for pushing our improvements up without adding onerous overhead to our daily workloads.","Todd, Greg, Adam Stewart, Massimiliano, and all the rest are doing a great job. Many thanks to you all and the greater spack community for making the installation and maintenance of deeply combinatoric multi-arch/mulit-toolchain software immeasurably less painful."
11/17/2020 21:54:55,Software Developer,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,"Traditional HPC / Simulation, Computer Science Research, Embedded Systems",Used at my site,3,"Packages, Slack Discussions, Issues",develop,"macOS, Red Hat, Ubuntu, Arch, SuSE, TOSS",100 - 200,"3.6, 3.7, 3.8",Do it!,Do it!,"spack load, Spack environments, Lmod, Environment Modules (TCL modules)","Environments, Module generation, build-env (debug a build), Python extensions (link python packages into interpreter prefix), Externals in packages.yaml, Concretization preferences in packages.yaml, Distributed Builds (srun spack install), spack dev-build","AMD, Intel, IBM Power, ARM","NVIDIA, AMD","gcc, LLVM, AMD aocc, AMD hipclang, XL, CCE (Cray Compilers)",Very Important,Critical,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Very Important,Somewhat important,Very Important,Slightly Important,Slightly Important,Not Important,Better concretizer that maximizes already installed package re-use,"Yes, I'd attend",Yes,"Documentation, Slack, Coworkers",Weekly,Probably,Excellent,Excellent,Excellent,Good,"1) Create a spack env with all the packages necessary to do my research experiments. Distribute the spack.yaml and lock files along with my research artifacts for better reproducibility.
2) Log on to a new system, clone spack, install my ""daily driver"" tools/toolchains (e.g., recent versions of python, git, tmux, htop, emacs)
3) User files a bug that our software package breaks with a given combination of dependencies/compilers.  Log on to a system and reproduce with Spack, then fix the bug in our software.","I'm still in dependency hell, but Spack took me from the 7th circle (violence - for the violence I'd like to commit against my keyboard while building things) to the 3rd circle (gluttony - for the voracious appetite I now have for spack-installed packages and the indulgent number of dependencies they require).",,New concretizer that makes better use of already installed packages,,
11/17/2020 22:06:15,Scientist/Researcher,DOE/Office of Science Lab (ORNL/ANL/LBL),United States,Yes,Traditional HPC / Simulation,Presentation,2,Packages,develop,"Ubuntu, Fedora",1 - 10,3.8,Do it!,Do it!,,Externals in packages.yaml,"AMD, Intel, IBM Power","NVIDIA, AMD","gcc, Intel Compilers, Intel OneAPI / dpc++, AMD hipclang, nvcc",Not Important,Very Important,Not Important,Not Important,Not Important,Not Important,Very Important,Very Important,Very Important,Not Important,Not Important,Very Important,,Maybe,No,Documentation,Yearly,No,Good,OK,OK,OK,Provide spack installer for library I develop,,,,,
