Timestamp,What kind of user are you?,Where do you work?,What country are you in?,Are you part of the U.S. Exascale Computing Project (ECP)?,Are you part of any EuroHPC joint undertaking projects? (https://eurohpc-ju.europa.eu/),Are you part of some other project that uses Spack that you'd like us to highlight (leave blank if not)?,What languages do you primarily program in?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many software installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use? (details at https://github.com/spack/spack/releases),Do you have local Spack package repositories?,Do you have any local modifications to Spack itself?,Do you use any third-party tools/front-ends to do development with Spack?,Which processors do you expect to use with Spack in the next year?,Which GPUs do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,Rank these TBD Spack features by importance [Better error messages],Rank these TBD Spack features by importance [Compilers as proper dependencies],"Rank these TBD Spack features by importance [Separate concretization of build dependencies (build build tools with gcc/clang, not fancy compilers)]","Rank these TBD Spack features by importance [Language virtual dependencies (e.g., depends_on(""cxx@2017:""))]",Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [More packages in public build caches],Rank these TBD Spack features by importance [Better organized/publicized public build caches],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Performance/speed improvements],Rank these TBD Spack features by importance [Better autodetection of system packages],Rank these TBD Spack features by importance [Better GPU compiler support],Rank these TBD Spack features by importance [Generate GitHub Actions pipelines + build caches],Rank these TBD Spack features by importance [More developer features],Rank these TBD Spack features by importance [Improvements for `spack test`],Rank these TBD Spack features by importance [Better CI Stability / faster PR turnaround],Rank these TBD Spack features by importance [SpackOS/support for custom libc],What features NOT in the prior list would you like to see?,"We're planning an in-person Spack user meeting in August, will you plan to attend?",Have you done a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",If there were a software foundation (ala Linux Foundation or CNCF) around Spack would it make you more likely to use/recommend Spack?,How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],Tell us briefly about your use case and your usual Spack workflow.,What about Spack has helped you the most in the past year?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?,"If you're interested in being contacted about your response, please leave us your email."
3/17/2023 4:16:23,System Administrator,University HPC/Computing Center,France,No,No,,"Python, sh/bash/other shell script, Javascript","HPC / Simulation, AI/ML, Computer Science Research",Search,5,No,0.19,"RHEL 7, RHEL 8, CentOS 7, CentOS 8, Rocky 8, Fedora","500-1,000","2.7, 3.6",Environment Modules (TCL modules),"Module generation, Distributed Builds (srun/mpirun spack install), Git versions",Yes -- just one,No,No,"Intel, ARM","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper","gcc, Intel Compilers, Intel OneAPI, PGI, nvcc (CUDA)",Somewhat important,Very Important,Somewhat important,Slightly Important,Not Important,Very Important,Critical,Somewhat important,Somewhat important,Very Important,Very Important,Slightly Important,Not Important,Slightly Important,Slightly Important,Somewhat important,A better way to manage python packages,Maybe,Yes,"Documentation, Coworkers, spack help",Monthly,Probably,"Yes, definitely!",Good,OK,Good,Good,"Installing softwares for scientists on our supercomputer. If the spack package doesn'nt exists or is not well made, we compile it by hand.",Compilation of many software with pack made us gain a good response time.,Not very well made to manage python packages for multiple python versions via module TCL.,A better way to manage python packages for multiple python versions via module TCL.,,,
3/17/2023 4:19:45,System Administrator,University HPC/Computing Center,France,No,No,,sh/bash/other shell script,HPC / Simulation,Used at my site,1,No,0.19,RHEL 7,200 - 500,"2.7, 3.6",Environment Modules (TCL modules),"Module generation, Distributed Builds (srun/mpirun spack install), Git versions",Yes -- just one,No,No,Intel,"NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper","gcc, Intel Compilers, Intel OneAPI, PGI, nvcc (CUDA)",Somewhat important,Very Important,Somewhat important,Slightly Important,Not Important,Somewhat important,Slightly Important,Slightly Important,Not Important,Slightly Important,Slightly Important,Not Important,Not Important,Not Important,Not Important,Not Important,,No,No,"Documentation, Coworkers, GitHub Issues, spack help, Source Code",Monthly,Probably not,Probably not,OK,OK,OK,OK,,,It is not possible to include the hash of a dependency into the path of a makefile.,"Making a page in the documentation about updating spack versions, especially about the compatibility of installed spack packages of old spack versions with newer versions of spack.",,,
3/17/2023 5:07:53,System Administrator,Other Public Research Lab,United States,No,No,,"Python, Go, Perl, sh/bash/other shell script, Javascript",Bioinformatics,Birds-of-a-feather (BOF) at conference,4,"No, Issues","0.18, 0.19","RHEL 7, RHEL 8, CentOS 7, Rocky 8, Ubuntu 20",1 - 10,3.9,"spack load, Spack environments, Lmod","Environments, Module generation, Concretization preferences in packages.yaml, Multiple build systems in one package, spack load",No,Yes,No,"AMD, Intel","NVIDIA Volta, NVIDIA Ampere, NVIDIA Other","gcc, Intel Compilers, Intel OneAPI",Critical,Somewhat important,Somewhat important,Not Important,Not Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Not Important,Not Important,Somewhat important,Not Important,Not Important,,No,Yes,"Documentation, Mailing List, Source Code",Monthly,Probably not,Probably,OK,OK,Good,Good,,,,,,,
3/17/2023 6:07:34,Research Software Engineer (RSE),"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,No,No,,"Fortran, C, Python","HPC / Simulation, AI/ML",Presentation,0,No,"0.18, 0.19","RHEL 8, Cray EX",1 - 10,3.7,"Lmod, Environment Modules (TCL modules)","Module generation, Cray PE support (spack external read-cray-manifest)",No,Yes,No,AMD,"AMD MI200/250X, AMD MI300, No GPUs","AMD ROCmCC (amdclang/hipcc), CCE (Cray Compilers)",Somewhat important,Very Important,Slightly Important,Slightly Important,Critical,Slightly Important,Slightly Important,Somewhat important,Very Important,Slightly Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,,Maybe,No,Documentation,Monthly,Probably not,Probably,Good,OK,Good,Good,,,,,,,
3/17/2023 6:43:40,Research Software Engineer (RSE),NCAR,United States,No,No,,"Fortran, C, Python",HPC / Simulation,Used at my site,1,"Packages, Slack Discussions, GitHub Discussions, Issues","0.19, develop","macOS 11 (Ventura), RHEL 8, Ubuntu 22, Cray EX",10 - 100,"3.7, 3.9",Lmod,"Environments, Module generation, Chaining (upstreams), Stacks (matrices in environments), build-env (debug a build), Externals in packages.yaml, New concretizer (clingo), spack develop, concretization: --fresh (build everything fresh), Variant/flag propagation (++, ~~, ==)",Yes -- several,Yes,No,"AMD, Intel, ARM","NVIDIA T4, AMD MI100","gcc, Intel Compilers, Intel OneAPI, NVHPC, LLVM, NAG, CCE (Cray Compilers), Fujitsu Compilers",Somewhat important,Slightly Important,Somewhat important,Slightly Important,Not Important,Not Important,Not Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Somewhat important,Slightly Important,,Maybe,No,"Documentation, Slack, GitHub Issues, Source Code, NCAR User Support Group",Daily,Probably not,Probably not,Good,Excellent,Good,Good,"I support ESMF and ParallelIO packages on a number of HPC systems, I recently started using spack to do this, it's a great time saver.",build and install modules,spack doesn't always correctly figure out specs without my providing a lot of detail,I think you're doing great.  ,no,Thank you for the great tool,
3/17/2023 7:00:45,System Administrator,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,No,No,DUNE,"Python, sh/bash/other shell script","High Energy Physics, Compiler Testing",Used at my site,2,"Packages, Documentation, Slack Discussions, Issues",0.18,"AlmaLinux 8, AlmaLinux9",10 - 100,"3.8, 3.9, 3.10","spack load, Spack environments, spack build-env","Environments, Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Git versions",Yes -- just one,No,No,"AMD, Intel, ARM","NVIDIA Other, AMD Other","gcc, LLVM",Critical,Very Important,Somewhat important,Very Important,Slightly Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Slightly Important,Somewhat important,Very Important,Slightly Important,,No,Yes,"Documentation, Slack, Coworkers",Monthly,Probably not,Probably,OK,Good,Good,Good,,,,,,,
3/17/2023 7:07:07,Software Developer,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,No,No,,"C++, Python",High Energy Physics,Used at my site,1,No,0.17,"macOS 12 (Monterey), CentOS 7",100 - 200,3.9,"Spack environments, spack view","Environments, Externals in packages.yaml",No,No,No,"Intel, ARM",No GPUs,"gcc, LLVM",Not Important,Critical,Slightly Important,Somewhat important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,Somewhat important,Not Important,Not Important,Not Important,,No,No,"Documentation, Slack, Coworkers, spack help",Monthly,No,No,Good,Good,Good,Good,,,"Invoking spack (un)install in combination with environments is difficult for me to understand.  Sometimes I uninstall things in an environment, but I still see them outside of the environment (understandable); other times I uninstall things outside of an in environment but might still see them within the environment (less understandable).  I'd like to think of Spack environments has entirely encapsulated entities...and maybe they are and I'm just using them wrong.  But better documentation about environments would be helpful.",,,,
3/17/2023 7:16:36,Scientist/Researcher,Cloud Provider,United States,No,No,,"Python, Go, R, sh/bash/other shell script, Javascript, Lua","HPC / Simulation, AI/ML, Bioinformatics",Used at my site,2,Tools/integrations,"0.18, 0.19, develop","CentOS 7, Ubuntu 18, Ubuntu 20, Amazon Linux",100 - 200,"3.9, 3.10, 3.11","Lmod, Environment Modules (TCL modules)","Module generation, Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Public build caches at https://binaries.spack.io",No,No,No,"AMD, Intel, ARM","NVIDIA T4, NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper","gcc, Intel Compilers, Intel OneAPI, nvcc (CUDA)",Somewhat important,Slightly Important,Not Important,Not Important,Not Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Critical,Not Important,Not Important,Not Important,Somewhat important,Not Important,,Maybe,Yes,"Documentation, GitHub Discussions",Weekly,Probably,Probably,Good,Good,Good,Good,,,,,,,
3/17/2023 7:47:52,Computational Scientist,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,No,,"Fortran, C, C++, Python","HPC / Simulation, AI/ML",Used at my site,2,Packages,"0.19, develop","RHEL 8, CentOS 8, Debian 11",200 - 500,"3.6, 3.9, 3.11",Spack environments,"Environments, Chaining (upstreams), spack external find, Cray PE support (spack external read-cray-manifest), Externals in packages.yaml, Concretization preferences in packages.yaml, spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), Variant/flag propagation (++, ~~, ==)",Yes -- several,No,No,"AMD, Intel, ARM","NVIDIA Volta, NVIDIA Hopper, AMD MI100, AMD MI200/250X, AMD MI300","gcc, Intel Compilers, Intel OneAPI, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers)",Slightly Important,Slightly Important,Somewhat important,Slightly Important,Not Important,Not Important,Not Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,,Maybe,Yes,"Documentation, Slack, Coworkers, GitHub Issues, Source Code",Monthly,Probably,Probably not,Good,Good,OK,Good,building environments with different compilers/flags to get all the build deps for my actual projects. heavily using spack external if possible,spack develop is great to test out small changes to one of my dependencies,spack concretize being fairly slow,Being able to more easily mix standard compilers (gcc/clang) for the base dependencies and more esoteric onces (nvcc/rocmcc) for the final packages.,,Keep up the great work. I've been looking for something like spack for many years.,
3/17/2023 8:21:36,Research Software Engineer (RSE),"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,No,No,,"C, C++, Python","HPC / Simulation, Computer Science Research, Compiler Testing",Word of mouth,3,Packages,"0.18, 0.19, develop","macOS 11 (Ventura), RHEL 8","> 1,000","3.9, 3.10, 3.11","spack load, Spack environments, spack view","Environments, Stacks (matrices in environments), Build caches (making binary packages), spack external find, New concretizer (clingo), concretization: --reuse (default), concretizer:unify:true (concretize together), Variant/flag propagation (++, ~~, ==)",Yes -- just one,No,No,"AMD, Intel, IBM Power","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, AMD MI200/250X, AMD MI300","gcc, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Slightly Important,,No,Yes,"Documentation, Coworkers",Monthly,Probably not,Probably,Good,Excellent,Excellent,Excellent,I use spack a spack environments per project i am working. Typically I share that environment with my colleagues via a build cache.,"Build caches, externals and the improved support on ML Libraries ",Runtime errors that occur after building a huge stack. Usually those occur for me when I use externals.,External version matching and better error messages. Tools that bisect software stacks when errors occur in building ,,,
3/17/2023 8:27:09,DevOps/SRE,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,No,,"Fortran, C, Python, Go, Perl, sh/bash/other shell script",HPC / Simulation,Used at my site,1,Documentation,0.19,"SLES15, Cray EX",10 - 100,"3.6, 3.7, 3.11","spack load, Spack environments, Lmod, spack view","Environments, Module generation, Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), E4S build caches (https://e4s.io), spack ci (GitLab pipeline generation -- yourself, not on our CI), spack external find, Cray PE support (spack external read-cray-manifest), Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), spack develop, Variant/flag propagation (++, ~~, ==), spack test, spack load, spack diff (compare two specs)",No,Yes,No,"AMD, Intel, ARM",NVIDIA Ampere,"gcc, Intel Compilers, Intel OneAPI, PGI, NVHPC, LLVM, nvcc (CUDA), CCE (Cray Compilers)",Very Important,Slightly Important,Slightly Important,Slightly Important,Very Important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Very Important,Very Important,Somewhat important,,No,Yes,"Documentation, GitHub Issues, Source Code",Weekly,Probably,Probably not,Excellent,OK,Good,OK,Perlmutter. Spack to install software for our users. Spack for our users to install software they are missing. This includes e4s.,,Packages not quite installing and having to debug the package problem.,More testing on Cray platforms,,Keep up the good work. Thanks for everything.,
3/17/2023 8:42:42,Software Developer,Company,United Kingdom,No,No,,"Fortran, C, C++, Python, sh/bash/other shell script",HPC / Simulation,Used at my site,3,No,0.18,"CentOS 7, Ubuntu 22, Cray XT",100 - 200,3.7,"Spack environments, Environment Modules (TCL modules), spack build-env","Environments, Module generation, Chaining (upstreams), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), build-env (debug a build), Externals in packages.yaml, spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), Multiple build systems in one package",Yes -- several,No,No,"AMD, Intel",No GPUs,"gcc, Intel Compilers, Intel OneAPI, LLVM, CCE (Cray Compilers)",Very Important,Critical,Slightly Important,Somewhat important,Slightly Important,Not Important,Not Important,Slightly Important,Critical,Very Important,Not Important,Slightly Important,Very Important,Not Important,Not Important,Not Important,,Maybe,Yes,"Documentation, Coworkers, spack help, Source Code",Weekly,Probably not,Probably not,Excellent,Excellent,Excellent,Excellent,,,,,,,
3/17/2023 9:13:59,Scientist/Researcher,University research group,United States,Yes,No,,"C, C++, Python",HPC / Simulation,Used at my site,3,"Core Features, Slack Discussions, GitHub Discussions, Issues","develop, custom fork","AlmaLinux 8, Ubuntu 20, Ubuntu 22, Debian 11, SLES15, openSuSE, Fedora",100 - 200,"3.6, 3.9, 3.10, 3.11","spack load, Spack environments, Custom script or env vars","Environments, Stacks (matrices in environments), Build caches (making binary packages), Public build caches at https://binaries.spack.io, spack ci (GitLab pipeline generation -- yourself, not on our CI), Concretization preferences in packages.yaml, New `require:` directive in packages.yaml, New concretizer (clingo), concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Git versions, spack load",No,Yes,No,"AMD, Intel, IBM Power, ARM","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, AMD MI200/250X, AMD MI300, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI, LLVM, nvcc (CUDA), CCE (Cray Compilers)",Somewhat important,Very Important,Slightly Important,Somewhat important,Not Important,Very Important,Very Important,Somewhat important,Critical,Not Important,Slightly Important,Not Important,Somewhat important,Not Important,Critical,Not Important,"In order of decreasing priority:

 - `spack ci` NEEDS to support ""secret"" destination mirrors that include mirror-specific credentials, OR separate credentials from mirrors.yaml entirely (""auth.yaml"")
    - If ""auth.yaml"" route, must (a) support credentials based on server + path prefix and (b) have a `spack login` or `spack auth login` frontend command like `docker login` (but supporting more authentication schemes than just username/password)

 - Local network cache for binary packages to cut buildcache server load
    - `spack ci` downloads gigabytes of binary packages in every pipeline. Very costly on cloud storage.

 - Reduce network requests needed for buildcaches
    - ~75% of requests from `spack ci` pipelines fail with 4xx errors. Very costly on cloud storage. Blind probing?
    - E.g. standard ""meta.json"" with layout version number OR per-mirror layout config (next bullet)

 - Better configuration for buildcaches
    - Per-mirror signing key / unsigned toggle
    - Toggle buildcache/source mirror separately
    - Buildcache layout config (if needed for last bullet)

 - Standard container images ready to use for `spack ci`
    - Reduces setup curve for running `spack ci` outside binaries.spack.io
    - If ghcr.io/spack/* images work for this purpose: (a) document that, (b) make them the default in `ci.yaml` if possible and (c) please add more OSs (almalinux8 and fedora(36|37))

 - Standardization for `spack buildcache create`, should always generate a usable binary package regardless of current (local) settings
    - e.g. `install_tree:padded_length:512` should be enforced in all binary packages
    - Reduces learning curve for setting up a buildcache outside binaries.spack.io

 - Support for Google Cloud Storage, up to parity with AWS S3
    - Main missing piece IIRC is the configuration for credentials (private SSH key)
    - Would help to have documentation on all the URL types supported for mirrors and how to get/add credentials

 - OS-agnostic specs
    - Helps us on rolling distros (e.g. Debian Sid) where the OS code changes with OS updates
    - Also helps when OS code changes without warning on Spack updates (e.g. during https://github.com/spack/spack/pull/33951, which integrated the years-prior https://github.com/python-distro/distro/pull/319, which fixed support for Leap 15.2 released years before that).
    - Would significantly lower the buildcache size for many-OS configurations",Maybe,No,"Documentation, Slack, GitHub Issues, GitHub Discussions, Source Code",Weekly,No,Probably,Good,Excellent,OK,Good,"Primarily using Spack to install dependencies for our project, to develop and test on local and remote machines. Also using Spack for the same purpose in project's CI, in containers (`spack ci` + buildcache).","Support for many OSs (esp. Cray) and many packages with minimal configuration. `--reuse` has been great (when it works, sometimes it can break the build due to incomplete package requirements :P). ","Buildcaches and esp. `spack ci`, they are second-rate features compared to the rest of Spack. https://github.com/spack/spack/discussions/32958 and https://github.com/spack/spack/discussions/32749 discuss and/or reference the main problems I've run into.","Improve tests for the core. It's difficult to develop new features (and replace old ones) without tests that are easy to run locally. Esp. missing (strong) tests for: upgrade paths for configs + caches, network code paths, buildcaches + ci.",https://github.com/intel/intel-graphics-compiler (We only need a few of the headers.),,
3/17/2023 9:44:37,Research Software Engineer (RSE),University research group,United States,Yes,No,,"C, C++, Python, sh/bash/other shell script",HPC / Simulation,DOE and ECP,5,"Packages, Issues",develop,"RHEL 7, RHEL 8, CentOS 7, CentOS 8, Ubuntu 18, Ubuntu 20, Cray XC, Cray XT",10 - 100,"3.8, 3.9, 3.10","Lmod, Environment Modules (TCL modules)","Module generation, spack external find, Cray PE support (spack external read-cray-manifest), Externals in packages.yaml, Concretization preferences in packages.yaml, New `require:` directive in packages.yaml, New concretizer (clingo), spack develop, concretization: --fresh (build everything fresh)",No,No,No,"AMD, Intel, IBM Power, ARM","NVIDIA T4, NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, AMD MI100, AMD MI200/250X, AMD MI300, AMD Other, Intel Xe (Ponte Vecchio)","gcc, NVHPC, LLVM",Very Important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Very Important,Very Important,Somewhat important,,Maybe,Yes,"Documentation, Slack, GitHub Issues, Source Code",Weekly,Probably not,Probably,Good,Excellent,Good,Good,We use spack to install all the prereqs (about 20) for our project.,"The community, access to spack developers, mostly via slack.","When writing or updating a package.py recipe, often there is a 1-line solution that takes me all day to find.","It can be a steep learning curve, so maybe make that easier.
Maybe, in separate documentation, pick a few common use cases and do an end-to-end demo of what a new user might want to do in these cases.","If there were, I would add them.","Often there is a short, clever way to do something that takes too long to find.",
3/17/2023 10:54:13,Computational Scientist,University HPC/Computing Center,United States,No,No,,"Fortran, C++, Python",HPC / Simulation,Word of mouth,0,No,"0.18, 0.19","CentOS 7, Rocky 8",100 - 200,3.6,spack load,spack load,No,No,No,Intel,"NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper","gcc, Intel Compilers",Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Critical,Somewhat important,Somewhat important,Critical,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,No,No,"Documentation, Coworkers, GitHub Issues",Daily,Probably,Probably not,Good,OK,Good,Good,,,,,,,
3/17/2023 11:22:35,Research Software Engineer (RSE),University HPC/Computing Center,Switzerland,No,No,,"Fortran, C++, Python",HPC / Simulation,Word of mouth,3,Packages,develop,"macOS 12 (Monterey), Ubuntu 20, Ubuntu 22, SLES15, Cray XC",10 - 100,"3.10, 3.11","spack load, spack build-env","Environments, build-env (debug a build), spack external find, New concretizer (clingo), concretization: --reuse (default), concretizer:unify:true (concretize together), spack load",No,No,No,"AMD, Intel, ARM","NVIDIA Ampere, NVIDIA Hopper, AMD MI200/250X, AMD MI300","gcc, NVHPC, AMD ROCmCC (amdclang/hipcc), CCE (Cray Compilers)",Critical,Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Very Important,Very Important,Very Important,Very Important,Not Important,Somewhat important,Not Important,Not Important,Not Important,separate core of spack from packages,No,Yes,"Documentation, Slack, Coworkers",Weekly,Probably,"Yes, definitely!",Good,Excellent,OK,Good,"1) shared $HOME on multiple platforms: you need to be carefull to configure the location of yaml config files and installed packages
2) 'spack external find' for python modules, like py-scipy. I don't think it's working well at the moment, however it can be configured ""by hand"" in packages.yaml
3) it would be nice to have yalm schema for config.yaml and packages.yaml to know the structure of the files (what is allowed and not allowed to specify in the config files)",Software deployment becomes manageable. It's really amazing! I once got an access to a platform with ancient gcc-4.5 and nothing else. I was able install the most fresh version of gcc and all required packages in an easy way.,"Sometimes it is hard to follow the reasoning of concretizer. There can be packages already installed and expected to be reused, but still the concretized wants to rebuild them. Usually it happens when you can't build your software and dependencies with a single compiler.",split packages and core of spack,intel compiler? (if it's not available already),"Great product, really! Thanks a lot for your effort!",
3/17/2023 11:44:07,Most of these,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,No,,C++,HPC / Simulation,Birds-of-a-feather (BOF) at conference,5,"Packages, Slack Discussions, Issues",develop,"macOS 11 (Ventura), Ubuntu 22, RHEL 9, CentOS 9","> 1,000",3.1,"spack load, Spack environments","Environments, Module generation, spack containerize, Distributed Builds (srun/mpirun spack install), New concretizer (clingo), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Variant/flag propagation (++, ~~, ==)",No,No,No,"AMD, Intel, IBM Power, ARM, RISC-V","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, NVIDIA Other, AMD MI100, AMD MI200/250X, AMD MI300, AMD Other, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), CCE (Cray Compilers), armclang",Somewhat important,Critical,Not Important,Somewhat important,Not Important,Not Important,Not Important,Slightly Important,Very Important,Very Important,Very Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,,No,Yes,"Documentation, Slack, GitHub Issues",Weekly,Probably,"Yes, definitely!",OK,Excellent,Good,Excellent,"Making many different software development/installation environments for our app and building/testing it. Different compilers, mpi, blas etc.",,,,,"(1) Have a clear stance on which operating systems are expected to work and the degree to which spack is expected to work. e.g. current spack is useless for me on my lab provided apple ventura laptop since neither gcc nor llvm build; is this a spack problem, an apple problem, or is my lab's mandated securityware getting in the way?  Also... RHEL9 was not even listed as an option on the survey.   Understood if ""strategic ambiguity"" is the most pragmatic route forward here. (2) have a way for package owners to indicate which flavors of GPU are supported or not.",
3/17/2023 12:07:05,Software Developer,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,No,No,,"Fortran, C, C++","HPC / Simulation, High Energy Physics",Used at my site,1,Packages,custom fork,RHEL 7,10 - 100,2.7,Not sure - I just use spack for CI,"Externals in packages.yaml, Concretization preferences in packages.yaml, Git versions",Yes -- several,Yes,uberenv,"AMD, Intel, IBM Power","NVIDIA Volta, AMD MI200/250X, AMD MI300","gcc, Intel OneAPI, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), IBM XL, CCE (Cray Compilers)",Critical,Somewhat important,Somewhat important,Very Important,Slightly Important,Slightly Important,Slightly Important,Critical,Very Important,Very Important,Very Important,Somewhat important,Critical,Very Important,Very Important,Somewhat important,Revert weird two colon syntax in the yaml file that broke everyone.,Maybe,Yes,"Documentation, Coworkers",Monthly,Probably,Probably not,Good,Good,OK,OK,I use spack through uberenv for CI (attempting to mimic umpire's CI),Not sure,"Poor error messages, difficulty updating Spack - every update breaks something","Better error messages, and documentation for how to debug issues in Spack (what options to use, how to make tweaks to packages and then rebuild only those packages, etc...)",N/A,"Usability is my biggest struggle. I'm stuck on an old outdated version because the new versions break, and I don't know how to debug the issues I'm hitting.",
3/17/2023 12:19:59,Software Developer,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,No,,"Fortran, C, C++, Python, Perl, sh/bash/other shell script, Lua",HPC / Simulation,Word of mouth,5,Packages,"0.17, 0.19","RHEL 7, RHEL 8","> 1,000","2.7, 3.8",Lmod,"Mirrors (spack mirror create / air gap support), Cray PE support (spack external read-cray-manifest), Externals in packages.yaml, Concretization preferences in packages.yaml, Multiple build systems in one package",Yes -- several,No,No,"AMD, Intel, IBM Power, ARM","NVIDIA Volta, NVIDIA Hopper, AMD MI200/250X, AMD MI300","gcc, Intel Compilers, Intel OneAPI, PGI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), IBM XL, CCE (Cray Compilers), armclang",Very Important,Somewhat important,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Very Important,Somewhat important,Critical,Very Important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,,Maybe,Yes,Coworkers,Never,"Yes, definitely!",Probably,Good,Good,Good,Good,,,,,,,
