Timestamp,What kind of user are you?,Where do you work?,What country are you in?,Are you part of the U.S. Exascale Computing Project (ECP)?,What languages do you primarily program in?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many software installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How bad would it be if Spack dropped support for Python 2?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use?,Do you have local Spack package repositories?,Do you have any local modifications to Spack itself?,Which processors do you expect to use with Spack in the next year?,Which GPUs do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,Rank these TBD Spack features by importance [Better error messages],Rank these TBD Spack features by importance [Compilers as proper dependencies],"Rank these TBD Spack features by importance [Separate concretization of build dependencies (build build tools with gcc/clang, not fancy compilers)]","Rank these TBD Spack features by importance [Optimized, public binary packages]",Rank these TBD Spack features by importance [Build testing for every PR],"Rank these TBD Spack features by importance [Language virtual dependencies (e.g., depends_on(""cxx@2017:""))]",Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Windows Support],Rank these TBD Spack features by importance [Autodetection of system packages],Rank these TBD Spack features by importance [Performance/speed improvements],Rank these TBD Spack features by importance [More reproducibility for environments],Rank these TBD Spack features by importance [Better GPU compiler support],Rank these TBD Spack features by importance [Generate GitHub Actions pipelines + build caches],Rank these TBD Spack features by importance [More developer features],What features NOT in the prior list would you like to see?,"If we had a (virtual) Spack user meeting, would you attend? ",Have you done a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",If there were a software foundation (ala Linux Foundation or CNCF) around Spack would it make you more likely to use/recommend Spack?,How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],Tell us briefly about your use case and your usual Spack workflow.,What about Spack has helped you the most in the past year?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?,
12/20/2021 16:04:57,Computational Scientist,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,C++,"Traditional HPC / Simulation, Computer Science Research",Presentation,4,No,develop,"macOS, RHEL 7, RHEL 8",1 - 10,"3.7, 3.8",Do it!,"Spack environments, Lmod, Environment Modules (TCL modules)","Environments, Module generation, spack containerize, Concretization preferences in packages.yaml",No,Yes,"AMD, Intel, IBM Power, ARM","NVIDIA Volta, AMD MI100, AMD MI200","gcc, Intel Compilers, Intel OneAPI / dpc++, LLVM, AMD ROCmCC / hipcc, nvcc (CUDA), IBM XL, armclang",Very Important,Slightly Important,Very Important,Not Important,Very Important,Very Important,Not Important,Very Important,Not Important,Critical,Very Important,Somewhat important,Critical,Not Important,Not Important,Simple path for getting consistent library dependencies. It's frustrating when I build two TPLs that have a common dependency but they compile that dependency with different incompatible versions. I have to manually hack files to force consistency.,Maybe,Yes,"Documentation, Coworkers, Give up and compile TPLS by hand",Yearly,No,Probably not,OK,Good,OK,Bad,About twice a year I need to build a handful of TPLs or maybe a new compler+mpi stack on a new system.,Nothing. Both times I tried this year I spent 2 days of frustration before manually compiling the libraries.,"Need TPL dependencies to be consistent for all packages in a spack build for final linking. If my app requires A and B at link, but A and B both require C, I frequently get two incompatible versions of C - one for A and one for B. This is very frustrating. Tried multiple paths from documentation but in the end had to hack package.py with preferred=true to force consistency.",Not require the world to be built. Almost every system has a working python. Making it easier to redirect to system libraries is important.  ,No.,No.,
12/20/2021 17:06:06,Software Developer,Private Research Lab,United States,No,"C, C++, Python","Traditional HPC / Simulation, Computer Science Research",Presentation,5,"Packages, Issues",develop,"RHEL 6, CentOS 8, Ubuntu 20, SLES15, Fedora, Cray XC, Cray XT",100 - 200,"3.5, 3.6, 3.7, 3.8, 3.9",Do it!,"Spack environments, Lmod, Environment Modules (TCL modules)","Environments, Module generation, build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), spack develop",No,Yes,"AMD, Intel, IBM Power, ARM","NVIDIA Volta, NVIDIA Other, AMD MI200, AMD Other","gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, NVHPC (new NVIDIA PGI compilers), nvcc (CUDA), CCE (Cray Compilers)",Somewhat important,Somewhat important,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Somewhat important,Very Important,,"Yes, I'd attend",Yes,"Documentation, Mailing List, GitHub, spack help",Weekly,Probably not,Probably not,Good,Good,Good,Excellent,"Probably typical use: compile, load modules, execute our tool",Consistency in the build process.,PRs that take months to get approved once reviewed.,Faster response from spack reviewers.,Not that I'm aware of at this point.,,
12/20/2021 23:11:50,System Administrator,University HPC/Computing Center,Germany,No,sh/bash/other shell script,Traditional HPC / Simulation,Word of mouth,2,No,"0.16, 0.17",CentOS 7,10 - 100,3.7,Do it!,Environment Modules (TCL modules),Module generation,No,Yes,"AMD, Intel",NVIDIA Ampere,"gcc, Intel Compilers, Intel OneAPI / dpc++",Very Important,Somewhat important,Somewhat important,Very Important,Slightly Important,Slightly Important,Not Important,Very Important,Not Important,Somewhat important,Slightly Important,Somewhat important,Somewhat important,Slightly Important,Not Important,,Maybe,Yes,Documentation,Monthly,Probably not,Probably not,Excellent,Excellent,Excellent,Excellent,,Saved so much time for me due to automatic dependency handling and environment module generation! Really thank you for spack!,,,,,
12/20/2021 23:22:18,Scientist/Researcher,University research group,United Kingdom,No,"Fortran, C, C++, Python, sh/bash/other shell script","Traditional HPC / Simulation, Statistics / Data Analysis, AI/ML",Word of mouth,2,No,develop,"CentOS 6, Ubuntu 20, Windows Subsystem for Linux (WSL)",10 - 100,"3.8, 3.9",Do it!,"spack load, Spack environments","Environments, spack external find, spack test, spack load",No,Yes,"AMD, Intel",No GPUs,"gcc, Intel Compilers",Somewhat important,Slightly Important,Very Important,Slightly Important,Very Important,Somewhat important,Slightly Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Very Important,Somewhat important,Somewhat important,Very Important,,No,Yes,"Documentation, GitHub, Source Code",Weekly,Probably not,"Yes, definitely!",Good,Good,Good,Good,,,,,,,
12/20/2021 23:37:12,User Support Staff,University HPC/Computing Center,Switzerland,No,"Fortran, Python, Go","Traditional HPC / Simulation, Statistics / Data Analysis, AI/ML, Bioinformatics",Used at my site,4,"Packages, Slack Discussions, Issues","0.16, 0.17","RHEL 8, CentOS 8",200 - 500,3.6,Do it!,"Spack environments, Lmod","Environments, Module generation, spack containerize, Chaining (upstreams), Stacks (matrices in environments), build-env (debug a build), Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), spack install --reuse, spack load",Yes -- just one,No,AMD,NVIDIA Ampere,"gcc, Intel Compilers, LLVM",Somewhat important,Very Important,Slightly Important,Not Important,Slightly Important,Somewhat important,Slightly Important,Very Important,Not Important,Not Important,Somewhat important,Somewhat important,Very Important,Not Important,Somewhat important,,"Yes, I'd attend",No,"Documentation, Slack, GitHub",Weekly,Probably not,No,Excellent,Excellent,Good,Excellent,HPC software stack. Spack environments with spec matrices and separate module paths to allow for different architectures / OS in the same spack instance,All of it!,"Broken package recipes 

Updating spack updates the default versions of packages",Separate the core spack and the builtin package repository,,Keep up the good work,
12/21/2021 0:11:50,Computational Scientist,Other Public Research Lab,France,No,"Fortran, C++",Traditional HPC / Simulation,Word of mouth,3,Packages,"0.17, develop","CentOS 7, Ubuntu 20, Arch, Windows Subsystem for Linux (WSL)",1 - 10,3.9,Do it!,"spack load, spack build-env","build-env (debug a build), spack diff (compare two specs)",No,No,"AMD, Intel, ARM",No GPUs,"gcc, LLVM",Critical,Somewhat important,Not Important,Slightly Important,Somewhat important,Very Important,Not Important,Somewhat important,Not Important,Slightly Important,Somewhat important,Very Important,Not Important,Not Important,Not Important,,Maybe,Yes,GitHub,Yearly,No,"Yes, definitely!",Good,Good,Good,Excellent,,,,,,,
12/21/2021 1:14:06,System Administrator,University HPC/Computing Center,China,No,"Python, Java","AI/ML, Computer Science Research",Tutorial,2,No,develop,CentOS 7,100 - 200,3.5,Do it!,"spack load, Environment Modules (TCL modules)","Environments, Module generation, spack load",No,No,"Intel, ARM","NVIDIA Volta, NVIDIA Ampere","gcc, Intel OneAPI / dpc++, nvcc (CUDA)",Very Important,Very Important,Very Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,"For some reasons, accessing GitHub from mainland China is not stable. Hope there's some quick configurations for Chineses users to use a proxy. For example, github.com.cnpmjs.org is a proxy of github.com. With this proxy, I can quickly clone repos without accessing the original github.com DNS.","Yes, I'd attend",Yes,"Documentation, Slack",Monthly,Probably,"Yes, definitely!",Good,Good,Good,Excellent,,,"For some reasons, accessing GitHub from mainland China is not stable. Hope there's some quick configurations for Chineses users to use a proxy. For example, github.com.cnpmjs.org is a proxy of github.com. With this proxy, I can quickly clone repos without accessing the original github.com DNS.",,,,
12/21/2021 1:17:55,Software Developer,Company,United Kingdom,No,"Fortran, Python",Traditional HPC / Simulation,Word of mouth,0,No,0.16,"CentOS 6, CentOS 7, openSuSE",100 - 200,3.8,Do it!,"spack load, Spack environments","Environments, Build caches (binary packages), spack external find, New concretizer (clingo), spack develop, spack load",Yes -- just one,No,"AMD, Intel",NVIDIA Other,"gcc, Intel Compilers, Intel OneAPI / dpc++, NVHPC (new NVIDIA PGI compilers), LLVM",Somewhat important,Somewhat important,Very Important,Very Important,Slightly Important,Not Important,Not Important,Somewhat important,Not Important,Somewhat important,Very Important,Very Important,Slightly Important,Not Important,Slightly Important,,No,Yes,"Documentation, Mailing List",Weekly,Probably not,Probably,Good,Good,Good,Good,"Originally it was seen as a better way to build standard toolchains for our codes than our existing cumbersome build scripts that needed rewriting every time we upgraded stuff. 

Now it's become an internal standard for development and maintenance across many codes.

A major customer also uses spack and it's a better way to deliver hpc codes with all dependencies so they can build them easily (especially on air-gapped systems). 
",It's made it easier to get consistent builds across many projects with several developers,Seem to just sometimes hit a wall and have to start all over again.,I'd probably say more robustness but I can see how much it does and how completely non-trivial the problems you are solving are.,No,Keep up the good work!,
12/21/2021 1:27:29,Research Software Engineer (RSE),"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United Kingdom,Yes,"C, C++, Python, sh/bash/other shell script","Traditional HPC / Simulation, Statistics / Data Analysis, AI/ML, Computer Science Research",Word of mouth,5,"Packages, Slack Discussions, GitHub Discussions, Issues",develop,"macOS, Ubuntu 20, Debian 11, Cray XC","500-1,000",3.9,Do it!,Spack environments,"Environments, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), spack develop, spack install --reuse",Yes -- several,No,"AMD, Intel, IBM Power, ARM",No GPUs,"gcc, LLVM",Very Important,Somewhat important,Very Important,Slightly Important,Slightly Important,Somewhat important,Not Important,Very Important,Not Important,Somewhat important,Very Important,Critical,Not Important,Slightly Important,Somewhat important,,"Yes, I'd attend",Yes,"Documentation, Slack, Coworkers, GitHub",Weekly,Probably not,Probably,Good,Excellent,Good,Good,"Setup an environment for the dependencies needed by a particular code or experiment, install this environment and activate it to develop said code or run said experiment. Make environment + scripts available with doc for reproducibility.",Automatizing setup for reproducible experiments.,"Recently, clingo making strange decisions that need to be manually overridden (e.g. not picking the latest version of a package).",Improve clingo's decisions.,deephyper (https://deephyper.readthedocs.io/en/latest/),,
12/21/2021 5:40:46,Scientist/Researcher,University research group,Germany,No,"C++, Python, sh/bash/other shell script",Traditional HPC / Simulation,Word of mouth,3,"Packages, Documentation, Slack Discussions","0.17, develop","Ubuntu 20, Arch",10 - 100,"3.8, 3.9, 3.10",Do it!,Spack environments,"Environments, spack external find, Externals in packages.yaml, New concretizer (clingo), spack install --reuse, spack load",Yes -- just one,No,"AMD, Intel",No GPUs,"gcc, LLVM, AMD ROCmCC / hipcc",Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not Important,Very Important,Very Important,Very Important,Slightly Important,Not Important,Somewhat important,,"Yes, I'd attend",Yes,"Documentation, Slack",Monthly,Probably not,Probably not,OK,Excellent,Good,Good,"Installation of software on various servers and supercomputers for simulations =. Common packages: PETSc, FEniCS, preCICE, compilers (mainly GCC). I often work with environment such that collects contains all dependencies that I need for a project. I do write/develop software. I do not use the software development features of Spack because I have not fully understand them yet.","Slack community, haampie, and especially Adam J. Stewart in GitHub issues.","Finding information I am looking for in the documentation. Complexity of Spack, its commands and the different levels of configuration files.",Make Spack configuration in home directory optional. At my location the home directory is the same for every machine (of which we have at least 10 different). This means the configuration is often not fitting (perfectly) to the host I am on.,,You are doing great work and have an awesome community. Spack is one of my favorite projects to contribute to. There is valuable feedback given in pull requests instead of just telling one to fix problems and pull requests are handled quickly.,
12/21/2021 7:47:23,System Administrator,University HPC/Computing Center,United States,No,"C, Python, sh/bash/other shell script, Lisp",Traditional HPC / Simulation,Search,3,"Packages, Issues",develop,CentOS 7,100 - 200,3.8,Do it!,"Lmod, Environment Modules (TCL modules)","Module generation, Chaining (upstreams), build-env (debug a build), spack-python (Python scripting), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), spack test, spack load",No,No,Intel,"NVIDIA T4, NVIDIA Volta, NVIDIA Ampere, NVIDIA Other","gcc, Intel Compilers, Intel OneAPI / dpc++, LLVM, nvcc (CUDA)",Very Important,Slightly Important,Very Important,Somewhat important,Somewhat important,Slightly Important,Not Important,Very Important,Not Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,Maybe,Yes,"Documentation, Slack, GitHub",Weekly,Probably not,No,OK,Excellent,OK,Good,,,,,,,
12/21/2021 8:15:08,Scientist/Researcher,Private Research Lab,United States,No,"C++, Python",Traditional HPC / Simulation,Word of mouth,1,"GitHub Discussions, Issues",develop,"macOS, CentOS 8, Ubuntu 20",100 - 200,3.9,Do it!,Spack environments,"Environments, Build caches (binary packages), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo)",No,Yes,"AMD, Intel, ARM","NVIDIA Volta, NVIDIA Ampere","gcc, NVHPC (new NVIDIA PGI compilers), LLVM",Very Important,Very Important,Slightly Important,Slightly Important,Very Important,Slightly Important,Slightly Important,Somewhat important,Not Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,,Maybe,Yes,GitHub,Weekly,No,No,OK,Excellent,Good,Good,"I work in computational chemistry/physics. I work on several different clusters and also (when possible) like to program on my Mac. I always try to work with environments so I can load a ""clean environment"" and share that spack.yaml file on all the clusters I'm working on.",Build an HPC environment based on the newest C++ compilers so I can use C++20 in my research.,"Since I work in environments, I often find that an environment will concretize together just fine and then 60% of the way through building all the packages, one will fail and I'll have to start again. I use the concretize_together keyword and might be able to avoid this problem by not using this, but it feels the safest for my need. Anyway, it feels that sometimes, the concretizer misses things and these build failures could be avoided with extra warning/info at concretization time. This is also partly due to warnings not existing in certain packages I use (or tried to use like FlexiBLAS) so it is not entirely on Spack. ",,,"Thank you so much for working on and maintaining this package. Software development is often a thankless task and you all are doing great!! Your support on GitHub is THE best I've ever seen and when people ask about things like Issue/PR templates, I always send them to look at yours because I think they're exactly what every open-source project should use.",
12/21/2021 10:03:27,Software Developer,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,C++,Traditional HPC / Simulation,Used at my site,2,No,develop,CentOS 8,10 - 100,"2.7, 3.6",I'd live (I can provide Python 3 somehow),Spack environments,"Environments, Externals in packages.yaml, Concretization preferences in packages.yaml, spack load",No,No,"AMD, Intel, IBM Power, ARM","NVIDIA Other, AMD Other, Intel Xe (Ponte Vecchio)","gcc, Intel Compilers, Intel OneAPI / dpc++, LLVM, IBM XL, CCE (Cray Compilers)",Critical,Not Important,Very Important,Somewhat important,Very Important,Slightly Important,Not Important,Very Important,Not Important,Very Important,Somewhat important,Critical,Not Important,Not Important,Slightly Important,When I use build_type=Debug please retain the source tree.  Otherwise the debugger cannot show me the code.,Maybe,Yes,Coworkers,Never,Probably not,Probably not,OK,Good,Bad,Horrible,"I'm building a dependency set for our FleCSI project.  I need to employ different versions of the packages.  I'll create a new environment and install the new version. Sometimes I use patch() to make changes to a version of the package. Eventually, I'll get so bogged down in Spack failures that the only way forward is to git clone Spack somewhere new and start all over. Right now, Spack uses over 100 GB for myself alone.","The FleCSI project has transitioned to using Spack.  So, I have to use Spack to build it.","==> Error: 'CommentedMap' object has no attribute 'split'
putting +shared in the right places
Finding the right ~/.spack/packages.yaml for my system
Getting Spack MPI installations to work with Slurm.
",Improve reliability,,"Building dependencies is still as painful as it was 30 years ago.  We still pass around ""recipes"" of commands to give Spack in order to be able to build our projects.",
12/21/2021 14:02:46,Software Developer,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,Python,Computer Science Research,Tutorial,2,Packages,,Ubuntu 20,1 - 10,"3.7, 3.8",Do it!,spack load,,No,No,"AMD, Intel",No GPUs,gcc,Very Important,Slightly Important,Not Important,Not Important,Critical,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,Maybe,Yes,Coworkers,Yearly,Probably,No,OK,OK,OK,OK,,,,,,,
12/21/2021 15:07:06,Scientist/Researcher,University research group,United States,Yes,"C, C++, sh/bash/other shell script","Statistics / Data Analysis, Computer Science Research",Word of mouth,2,Issues,develop,"RHEL 7, RHEL 8, Debian 11",100 - 200,"3.7, 3.8, 3.9",Do it!,"spack load, Spack environments","Environments, Stacks (matrices in environments), spack-python (Python scripting), Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), spack load",No,Yes,"AMD, Intel, IBM Power, ARM","NVIDIA Ampere, AMD MI200, Intel Xe (Ponte Vecchio)","gcc, Intel Compilers, Intel OneAPI / dpc++, LLVM, AMD ROCmCC / hipcc, nvcc (CUDA)",Very Important,Critical,Critical,Not Important,Somewhat important,Not Important,Not Important,Slightly Important,Not Important,Not Important,Critical,Not Important,Very Important,Slightly Important,Slightly Important,"- Support for versions generated from arbitrary Git hashes (foobar@git.1c2d3fe.as.v12.3 is foobar commit 1c2d3fe built with the recipe for v12.3).
- First-class dependencies for the standalone/smoke test phase (e.g. bison is not used by the library but is required for the post-installation testing code).
- First-class command support + documentation for bootstrapping compilers.",Maybe,No,"Documentation, GitHub, Source Code",Weekly,Probably,"Yes, definitely!",Good,Excellent,OK,OK,"Quick instancing of development versions of my work on remote machines (including all dependencies, and some variants for specific use cases).","Spack almost always ""does the right thing"" on a new machine with minimal additional configuration (for MPI and CUDA).","- Meson support is rough around the edges in many places, see e.g. https://github.com/spack/spack/issues/20721.
- `spack dev-build` is difficult to use in an edit-compile-run development loop (when editing the application sources, not package.py). It constantly requires extra `spack uninstall` commands and it re-does the entire build instead of just compiling the changed sources.",,,,
12/22/2021 6:04:28,Software Developer,University HPC/Computing Center,France,No,Tcl,Traditional HPC / Simulation,Birds-of-a-feather (BOF) at conference,4,Packages,develop,"RHEL 7, RHEL 8",10 - 100,3.6,Do it!,Environment Modules (TCL modules),Environments,No,No,AMD,AMD MI100,"gcc, Intel Compilers",Somewhat important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,Maybe,No,"Slack, GitHub",Monthly,Probably not,Probably,Excellent,Good,Good,Good,,,,,,,
12/22/2021 6:49:02,User Support Staff,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,"C++, Python",Traditional HPC / Simulation,Word of mouth,2,Packages,,RHEL 7,10 - 100,3.6,I'd live (I can provide Python 3 somehow),,"build-env (debug a build), spack external find, spack diff (compare two specs)",Yes -- just one,No,"AMD, Intel, ARM",AMD MI100,"gcc, Intel OneAPI / dpc++, AMD ROCmCC / hipcc, nvcc (CUDA), CCE (Cray Compilers)",Very Important,Somewhat important,Not Important,Slightly Important,Somewhat important,Slightly Important,Not Important,Somewhat important,Not Important,Very Important,Slightly Important,Very Important,Somewhat important,Somewhat important,Somewhat important,,Maybe,No,Documentation,Monthly,Probably,Probably not,OK,OK,Good,Good,,,,,,,
12/22/2021 10:34:11,Scientist/Researcher,University research group,United States,Yes,"C++, Python, R","Traditional HPC / Simulation, Compiler Testing, Systems tools, performance analysis",ECP,2,"Packages, Slack Discussions, Issues",develop,"RHEL 8, CentOS 8, Ubuntu 18, Ubuntu 20, SLES15",100 - 200,"3.6, 3.7, 3.8",Do it!,"Lmod, Custom script or env vars","Module generation, Externals in packages.yaml, New concretizer (clingo), spack develop, spack test",No,No,"AMD, Intel, IBM Power, ARM",No GPUs,"gcc, Intel OneAPI / dpc++, NVHPC (new NVIDIA PGI compilers), LLVM, AMD ROCmCC / hipcc, nvcc (CUDA), CCE (Cray Compilers)",Somewhat important,Critical,Somewhat important,Not Important,Not Important,Slightly Important,Not Important,Very Important,Not Important,Critical,Somewhat important,Not Important,Not Important,Very Important,Slightly Important,spack load gcc/11.0.1' would load all packages built with gcc-11.0.1.,"Yes, I'd attend",Yes,"Documentation, Slack, spack help, Source Code",Weekly,No,No,Good,Excellent,Excellent,Good,,,,,,,
12/22/2021 12:23:06,Scientist/Researcher,Company,United States,No,"Fortran, C, C++, Python, sh/bash/other shell script",Traditional HPC / Simulation,Presentation,5,No,"0.16, 0.17","RHEL 6, RHEL 7, RHEL 8, CentOS 6, CentOS 7, CentOS 8, Ubuntu 18","> 1,000","3.7, 3.8, 3.9",I'd live (I can provide Python 3 somehow),"spack load, Lmod, Environment Modules (TCL modules), Containers","Environments, Module generation, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), spack install --reuse, spack load",No,No,"AMD, Intel, IBM Power, ARM","NVIDIA T4, NVIDIA Volta, NVIDIA Ampere, NVIDIA Other, AMD MI100, AMD MI200, AMD Other, Intel Xe (Ponte Vecchio)","gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, NVHPC (new NVIDIA PGI compilers), LLVM, AMD ROCmCC / hipcc, nvcc (CUDA), IBM XL, armclang",Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Slightly Important,Very Important,Not Important,Very Important,Very Important,Critical,Very Important,Slightly Important,Somewhat important,Better coverage of O/S options by binary caches - right now a lot of them are not very useful when trying to install an E4S installation for example.,"Yes, I'd attend",Yes,"Documentation, Slack",Weekly,Probably not,Probably,OK,Good,OK,Good,Setting things up for my group's users to do actual development/production/benchmarking work.,Environments and the ability to rebuild E4S,Things now working on different OS/compiler cases from the ones that have been tested,Improve the binary cache picture or provide working tarballs of something like XSDK/E4S with a standard install location (e.g. /opt/spack) or a relocation script. The improved binary cache  picture would be easier I guess.,,,
12/23/2021 9:29:54,Software Developer,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,"C++, Python",Traditional HPC / Simulation,Used at my site,5,"Packages, Slack Discussions, GitHub Discussions, Issues","0.16, 0.17, develop, custom fork","macOS, RHEL 7, RHEL 8, Ubuntu 18, Ubuntu 20, Cray XC, Cray EX, Cray XT","500-1,000","2.7, 3.6, 3.7, 3.8, 3.9",I'd live (I can provide Python 3 somehow),Custom script or env vars,"Environments, Python extensions (link python packages into interpreter prefix), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, spack develop",Yes -- several,No,"AMD, Intel, IBM Power","NVIDIA Volta, NVIDIA Ampere, NVIDIA Other, AMD MI100, AMD MI200, AMD Other, Intel Xe (Ponte Vecchio)","gcc, NVHPC (new NVIDIA PGI compilers), LLVM, AMD ROCmCC / hipcc, nvcc (CUDA), CCE (Cray Compilers)",Somewhat important,Slightly Important,Not Important,Somewhat important,Critical,Not Important,Not Important,Slightly Important,Slightly Important,Somewhat important,Very Important,Very Important,Critical,Slightly Important,Very Important,,"Yes, I'd attend",Yes,"Documentation, Slack, Coworkers, GitHub, spack help",Weekly,No,Probably not,Excellent,Excellent,Excellent,Excellent,,,,,,,
12/25/2021 5:44:43,Scientist/Researcher,University research group,Czech Republic,No,"Fortran, C, Python, sh/bash/other shell script","Traditional HPC / Simulation, ultrashort laser",Word of mouth,0,No,0.17,CentOS 7,1 - 10,3.7,I'd live (I can provide Python 3 somehow),"spack load, Environment Modules (TCL modules)","Module generation, spack install --reuse, spack load",No,No,"AMD, Intel","NVIDIA Volta, NVIDIA Ampere","gcc, Intel Compilers, LLVM, AMD ROCmCC / hipcc, nvcc (CUDA)",Critical,Critical,Somewhat important,Critical,Somewhat important,Critical,Not Important,Critical,Slightly Important,Critical,Critical,Critical,Very Important,Not Important,Not Important,,Maybe,No,"Documentation, spack help",Weekly,Probably not,"Yes, definitely!",Good,OK,Excellent,Excellent,"For now, I use it to install dependencies of Octopus TDDFT for several architectures (Intel and AMD). I also use it to administrate a Linux server at work. ",It also helped to install latest packages to circumvent very old packages in CentOS 7. ,Compilation for AMD using BLIS library instead of BLAS. Didn't succeed so far. ,I'm not sufficiently advanced for that. ,,This soft is a super tool I needed to discover long time ago. ,
12/28/2021 9:13:02,Scientist/Researcher,University research group,Belgium,No,"Fortran, Python",Traditional HPC / Simulation,Search,0,Packages,0.17,Arch,1 - 10,"3.9, 3.10",Do it!,spack build-env,spack load,No,No,"AMD, Intel",No GPUs,"gcc, Intel Compilers, Intel OneAPI / dpc++",Somewhat important,Not Important,Not Important,Not Important,Somewhat important,Slightly Important,Not Important,Somewhat important,Not Important,Somewhat important,Not Important,Not Important,Not Important,Somewhat important,Slightly Important,,Maybe,No,"Documentation, GitHub, spack help, Source Code",Monthly,Probably not,Probably,Good,Good,Excellent,Excellent,I mainly use it to distribute my software. But I recommended it to the HPC staff.,the general idea,"I don't remember exactly, but just updating recipes did not result in a new build for some reasons",,,,
12/31/2021 3:52:03,User Support Staff,Other Public Research Lab,Japan,No,"Fortran, C++",Traditional HPC / Simulation,Birds-of-a-feather (BOF) at conference,2,No,0.17,RHEL 8,1 - 10,3.8,Do it!,"spack load, Environment Modules (TCL modules)","Chaining (upstreams), spack load",Yes -- just one,No,ARM,NVIDIA Ampere,"gcc, LLVM, Fujitsu Compilers",Somewhat important,Very Important,Very Important,Critical,Slightly Important,Somewhat important,Somewhat important,Very Important,Not Important,Slightly Important,Somewhat important,Critical,Somewhat important,Somewhat important,Very Important,,Maybe,Yes,"Documentation, Coworkers, GitHub",Monthly,Probably not,Probably not,OK,OK,OK,OK,,,,,,,
