Timestamp,What kind of user are you?,Where do you work?,What country are you in?,What languages do you primarily program in?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many package installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use? (details at https://github.com/spack/spack/releases),Do you have your own local Spack package repositories?,Do you have any local modifications to Spack itself?,Do you use any third-party tools/front-ends to do development with Spack?,Which processors do you expect to use with Spack in the next year?,Which GPUs / Accelerators do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,Rank these TBD Spack features by importance [Better error messages],Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [More packages in public build caches],Rank these TBD Spack features by importance [Better organized/publicized public build caches],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Performance/speed improvements],Rank these TBD Spack features by importance [Better autodetection of system packages],Rank these TBD Spack features by importance [Better GPU compiler support],Rank these TBD Spack features by importance [Generate GitHub Actions pipelines + build caches],Rank these TBD Spack features by importance [More developer features],Rank these TBD Spack features by importance [Improvements for `spack test`],Rank these TBD Spack features by importance [Better CI Stability / faster PR turnaround],Rank these TBD Spack features by importance [SpackOS/support for custom libc],Rank these TBD Spack features by importance [Cross-compilation],Rank these TBD Spack features by importance [More build parallelism],Rank these TBD Spack features by importance [Separate the builtin repo from core],What features NOT in the prior list would you like to see (tell us your wish list)?,Has Spack's transition into Linux Foundation / HPSF given you more confidence in the project?,"Will you be attending the Spack User Meeting at HPSFCon, May 5-8?",Have you attended a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],"What is the most recent thing you did with Spack, anywhere from installing a package to modifying the core functionality?",Tell us briefly about your use case and your usual Spack workflow.,What about Spack has helped you the most in the past year?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?,"If you're interested in being contacted about your response, please leave us your email.",,,,,,
5/2/2025 1:51:11,Research Software Engineer (RSE),University HPC/Computing Center,Switzerland,C++,HPC / Simulation,Used at my site,6,"Packages, Issues","0.23, 1.0.0-alpha* pre-releases, develop (1.0.0dev0)","macOS 15 (Sequoia), Cray EX","> 1,000","3.6, 3.10, 3.12","Spack environments, spack build-env, spack view","Environments, Build caches (making binary packages), Weekly develop snapshots on cache.spack.io, build-env (debug a build), spack external find, spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), Variant/flag propagation (++, ~~, ==), Git versions, spack load, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",Yes -- just one,No,uenv2 (https://github.com/eth-cscs/uenv2),"AMD, Intel, ARM","NVIDIA Hopper, NVIDIA Blackwell, AMD MI200/250X, AMD MI300A","gcc, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Very Important,Slightly Important,Very Important,Very Important,Very Important,Critical,Very Important,Very Important,Not Important,Somewhat important,Slightly Important,Slightly Important,Not Important,Slightly Important,Very Important,Critical,,No,No,Yes,"Documentation, Coworkers, spack help",Monthly,Probably not,OK,OK,OK,Good,built environment + build-env,environments (--only=dependencies) + build-env / install ,Easier dependencies handling,Bad quality of certain spack packages,,,,,,,,,,
5/2/2025 3:28:40,System Administrator,University HPC/Computing Center,Czech Republic,"Python, sh/bash/other shell script","HPC / Simulation, AI/ML, Computer Science, Bioinformatics",Word of mouth,5,"Packages, Slack Discussions","0.23, git","Rocky 9, Arch","> 1,000","3.9, 3.11","spack load, Spack environments, Custom script or env vars","Environments, Public build caches at cache.spack.io / binaries.spack.io, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Git versions, spack load",No,Yes,Other script to wrap spack,"AMD, Intel",NVIDIA Other,gcc,Critical,Not Important,Very Important,Somewhat important,Somewhat important,Critical,Critical,Very Important,Somewhat important,Slightly Important,Somewhat important,Very Important,Very Important,Slightly Important,Somewhat important,Critical,,Yes,No,No,"Documentation, Slack, GitHub Issues, GitHub Discussions",Weekly,Probably not,OK,Excellent,Good,Good,Bring packages to its latest versions to fulfill our users demands.,"Install spack GIT to get the latest packages recipes (we need them apart), and install the software we are requested.","It helps with quick deployment, however, as packages evolve faster than spack, specially now that they are a single repository, it creates a mess of different spack installations. I hope that the arrival of spack 1.0 will improve this substantially, specially when packages will be moves to their own repository. Also Stabilizing the API will help developing packages as now evrytime is like learning again and again to make/modify a package.",keep up with new software. And  CUDA vs gcc nightmare software stack.,Separate packages from core spack.,"Everything is awsome, some packages outdated, but I can help there.","Thank you for your work, it is excellent and useful.",,,,,,,
5/2/2025 3:46:13,Research Software Engineer (RSE),University HPC/Computing Center,Switzerland,"C++, Python",HPC / Simulation,Used at my site,3,Packages,develop (1.0.0dev0),"Ubuntu 22, Ubuntu 24, Arch",100 - 200,"3.10, 3.13",Spack environments,"Environments, Build caches (making binary packages), OCI build caches (pushing packages to container registries), Externals in packages.yaml, concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together)",No,No,No,"AMD, ARM","NVIDIA Hopper, AMD MI300X","gcc, NVHPC, nvcc (CUDA)",Very Important,Not Important,Not Important,Somewhat important,Not Important,Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,Not sure,No,No,"Documentation, Coworkers, GitHub Issues, ChatGPT / other LLMs",Monthly,Probably not,Good,Good,Good,Good,installing a package ,"spack to setup the software stack on an hpc cluster, both in baremetal and container environments.",Ability to keep packages up-to-date & get access to the most recent features in them.,When the concretizer fails it is very hard to find out why.,"tracability of concretizer failures; standalone full fledged docker container including bash, systemd, etc.",,,,,,,,,
5/2/2025 5:24:01,System Administrator,University research group,Germany,C++,"HPC / Simulation, System Administration",Used at my site,5,"Packages, Core Features, Slack Discussions, Issues",0.23,Debian 12,10 - 100,3.11,spack load,"spack external find, Externals in packages.yaml, concretization: --reuse (default), Variant/flag propagation (++, ~~, ==), spack load, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",Yes -- just one,No,No,"AMD, Intel","NVIDIA Ampere, NVIDIA Hopper, NVIDIA Other","gcc, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Very Important,Not Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Very Important,Not Important,Very Important,Very Important,,Yes,No,No,"Documentation, Slack, GitHub Issues, spack help",Monthly,No,Good,Excellent,Good,Good,Installing packages,,,,,,,,,,,,,
5/2/2025 6:49:41,DevOps/SRE,University HPC/Computing Center,United States,"Python, sh/bash/other shell script","System Administration, DevOps",Search,1,"Packages, Slack Discussions, GitHub Discussions, Issues, package updates",0.22,Ubuntu 22,100 - 200,3.1,Spack environments,"Environments, concretization: --reuse (default), concretization: --fresh (build everything fresh), Git versions",Yes -- just one,No,No,"AMD, Intel","NVIDIA Hopper, NVIDIA Other","gcc, nvcc (CUDA)",Very Important,Slightly Important,Very Important,Very Important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Not Important,Very Important,Somewhat important,Somewhat important,,Not sure,No,No,"Documentation, Slack, GitHub Issues, Source Code",Monthly,Probably not,Excellent,OK,Good,Excellent,deploying to new servers,,,,,,,,,,,,,
5/2/2025 6:54:15,User Support Staff,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,"C, C++, Python, sh/bash/other shell script","HPC / Simulation, AI/ML, Computer Science, User Support, System Administration",Used at my site,0,No,"0.22, 0.23",SLES15,"> 1,000","3.6, 3.10, 3.11",Lmod,"Environments, Module generation, Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages)",No,My site has a front-end or extension to Spack,No,AMD,AMD MI200/250X,"gcc, LLVM, AMD ROCmCC (amdclang/hipcc), CCE (Cray Compilers)",Very Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Very Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Critical,,Not sure,No,No,"Documentation, Coworkers, GitHub Issues",Weekly,Probably,Good,Excellent,OK,Good,Install an HPC system software stack,,,Packages which are not updated to support most recent compilers/releases etc,,,,,,,,,,
5/2/2025 7:23:20,User Support Staff,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,"C++, Python, sh/bash/other shell script, Non-programmer","HPC / Simulation, AI/ML, Compiler Testing, User Support, System Administration, System/User Environment ",Used at my site,2,"No, Working on spackage ",0.23,"macOS 15 (Sequoia), RHEL9, SLES15, openSuSE",100 - 200,"3.11, 3.13","Spack environments, Lmod","Environments, Module generation, Externals in packages.yaml",Yes -- just one,No,No,"AMD, Intel, ARM","NVIDIA Ampere, NVIDIA Hopper, NVIDIA Other, AMD MI200/250X, AMD MI300A, AMD MI300X","gcc, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers)",Critical,Somewhat important,Very Important,Very Important,Critical,Very Important,Critical,Critical,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,"1. Spack being able to find external libs or apps needed for dependencies based on the users current environment or a set of paths defined by the user
2. Easier way to build the same package with different compilers; this can be done but it seems cumbersome and half the I will see dependencies get mixed up in a package build mix matching compilers. For example, If I build package A %gcc@13 and that package has dependency on Package/Lib XZ built also against gcc@13. Then when I go and build package A again except this time with %cce@18 it will use Package/Lib XZ built against gcc@13. Maybe this is user error, however it has caused alot of frustration when trying build up my own software spack environment. 
3. Better error handling, it can be hours of rabbit hunting to figure out what is causing a build failure. I use spack environments and most of the time I end up just destroying and recreating an environment...depending on the issue",Yes,No,Yes,"Documentation, Slack, Coworkers, GitHub Issues, GitHub Discussions, spack help, ChatGPT / other LLMs",Weekly,Probably,Good,Good,Good,Excellent,Installing the application WRF with spack. I had to mod the package to accept building with CCE since it did not have that ability in the python package. ,"I use Spack to build applications that tend to be quite cumbersome to go out and start building from scratch. Perfect example, I was building WRF from source and this required so MANY dependency builds to go along with it, that it was exhausting. I believe one of them was hdf5 and that is a large build in of itself. I use spack alot for testing user issues or trying to isolate environment issues with different package versions. ","The speed gained from using spack when building large packages is consequential. In addition sometimes trying to build a package manually will fail at certain parts for various reasons and then you go and create a spack environment, perform a spack add with some configuration, spack install and 1 hour later ~, you're off to the races using the package. ","Error handling when builds fail
using current environment as externals
Building an application with different compilers to test functionality
","Develop an AI chatbot to help with issues. Chatgpt does a decent job, however I can only imagine how awesome a chatbot trained specifically on the spack docs, support tickets, slack channel would perform 1000X better. ",Vampir - This is an easy enough manual build but could be an easy spackage,Keep up the good work!,,,,,,,
5/2/2025 7:23:35,Research Software Engineer (RSE),Cloud Provider,United States,"C++, Python, R, sh/bash/other shell script, Javascript","Statistics / Data Analysis, AI/ML, Bioinformatics, Web applications, Visualization, System Administration",Word of mouth,3,"Packages, Slack Discussions, GitHub Discussions, Issues","0.23, 1.0.0-alpha* pre-releases, develop (1.0.0dev0)","macOS 15 (Sequoia), Ubuntu 22, Ubuntu 24, Debian 12, Amazon Linux, Alpine","> 1,000","3.11, 3.12, 3.13","Spack environments, Containers","Environments, spack containerize, Chaining (upstreams), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Public build caches at cache.spack.io / binaries.spack.io, build-env (debug a build), spack-python (Python scripting), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), Variant/flag propagation (++, ~~, ==), Git versions, spack load, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.), spack deconcretize",Yes -- several,No,Other script to wrap spack,"AMD, Intel, ARM",AMD MI200/250X,"gcc, LLVM, AMD ROCmCC (amdclang/hipcc), armclang",Very Important,Slightly Important,Critical,Very Important,Somewhat important,Critical,Somewhat important,Somewhat important,Slightly Important,Critical,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Critical,,Yes,Maybe,No,"Documentation, Slack, GitHub Issues, GitHub Discussions, spack help, Source Code",Weekly,Probably,Good,Excellent,Good,Excellent,"Build a common set of tools in a new, minimal, air-gapped environment. During that I found a number of dependencies that were missing from some packages so I am updating and opening PRs.","We have multiple use cases spack addresses:
 - diverse hpc-heavy users with many one-off program requirements
 - heavily managed software stack that needs to be built on multiple platforms
 - documentation of how to actually build some difficult packages
 - as a managed way to cache and install software inside air-gapped workspaces",The community ,"Challenges working in airgaps, especially when packages have their own methods of  downloading dependencies. 
And waiting on PRs to get approved :-)",,"Lots, and I'll keep opening PRs as I can.",,,,,,,,
5/2/2025 7:40:54,Research Software Engineer (RSE),Other Public Research Lab,United States,"Fortran, C, C++, Python, sh/bash/other shell script","HPC / Simulation, AI/ML, DevOps, Numerical Weather Prediction",Used at my site,7,"Packages, Slack Discussions, Issues","0.23, develop (1.0.0dev0), custom fork","macOS 15 (Sequoia), RHEL9, Rocky 9, AlmaLinux 9, Ubuntu 24, Amazon Linux, Cray EX, Cray XD","> 1,000","3.11, 3.12, 3.13","Spack environments, Lmod, Environment Modules (TCL modules), spack view, Containers","Environments, Module generation, Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Public build caches at cache.spack.io / binaries.spack.io, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:when_possible, Variant/flag propagation (++, ~~, ==), Git versions, spack diff (compare two specs)",Yes -- several,My site has a front-end or extension to Spack,spack-stack (https://github.com/JCSDA/spack-stack),"AMD, Intel","NVIDIA T4, NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, Azure Maia","gcc, Classic Intel Compilers, Intel OneAPI, NVHPC, LLVM, CCE (Cray Compilers)",Very Important,Slightly Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,,Not sure,No,No,"Documentation, Slack, Coworkers, GitHub Issues, GitHub Discussions, Source Code",Weekly,Probably not,Good,Excellent,Good,Excellent,Write package recipes for local software repositories,Build / install environments to support weather / climate research and operations,Minimized dev environment tooling and increased ability to support multiple versions of packages and tools across groups,Concretization error messaging (reasons why concretization fails),,,,,,,,,,
5/2/2025 7:52:18,DevOps/SRE,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,"Python, sh/bash/other shell script","HPC / Simulation, Computer Science, Compiler Testing, System Administration",Used at my site,1,"Slack Discussions, GitHub Discussions, Issues","0.19, 0.20, 0.21, 0.22, 0.23, develop (1.0.0dev0)",RHEL 8,200 - 500,"3.9, 3.10, 3.11, 3.12, 3.13","spack load, Spack environments, Lmod, Environment Modules (TCL modules), Containers","Environments, Module generation, Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Externals in packages.yaml, Concretization preferences in packages.yaml, spack load",Yes -- just one,Yes,,"AMD, Intel, IBM Power, ARM","NVIDIA T4, NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, NVIDIA Other, AMD MI100, AMD MI200/250X, AMD MI300A, AMD MI300X","gcc, Classic Intel Compilers, Intel OneAPI, LLVM, nvcc (CUDA)",Slightly Important,Not Important,Not Important,Not Important,Slightly Important,Critical,Very Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Very Important,,Not sure,No,No,"Documentation, Slack, Coworkers, GitHub Issues, GitHub Discussions, Source Code",Weekly,"Yes, definitely!",OK,OK,OK,OK,Tried integrating it with an a security anaysis tool that inserts itself into the build process.,,,,,,,,,,,,,
5/2/2025 8:18:22,User Support Staff,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,"Fortran, C, C++, Python, Lua","HPC / Simulation, User Support",Used at my site,2,Slack Discussions,"0.22, 0.23, develop (1.0.0dev0)",SLES15,"> 1,000","3.6, 3.7",Lmod,"Environments, Module generation, Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Public build caches at cache.spack.io / binaries.spack.io, E4S build caches (https://e4s.io), Externals in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml",No,My site has a front-end or extension to Spack,No,AMD,"AMD MI100, AMD MI200/250X, AMD MI300A, AMD MI300X, No GPUs","gcc, Intel OneAPI, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers)",Very Important,Not Important,Not Important,Slightly Important,Very Important,Very Important,Very Important,Critical,Not Important,Slightly Important,Slightly Important,Not Important,Critical,Not Important,Critical,Critical,,Yes,No,Yes,"Documentation, Slack, Coworkers, GitHub Issues, GitHub Discussions, spack help, Source Code, Weekly Telecons, ChatGPT / other LLMs",Daily,Probably,Excellent,Excellent,Excellent,Excellent,Installing packages and patching spackages to add new functionality for our site,"We use Ansible to generate .yaml files and patches for spackages and Spack itself, then concretize and install.",Ease of use,Mystic error messages,More detailed error messages and/or stack traces,,,,,,,,,
5/2/2025 8:20:23,Computational Scientist,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,"Python, sh/bash/other shell script",HPC / Simulation,Word of mouth,2,No,0.23,"macOS 15 (Sequoia), RHEL9",10 - 100,3.1,spack load,"Environments, Module generation, Build caches (making binary packages)",No,No,No,"AMD, Intel, IBM Power","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, AMD MI200/250X, Intel Xe (Ponte Vecchio), Intel Gaudi","gcc, Intel OneAPI, NVHPC, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Very Important,Somewhat important,Critical,Critical,Very Important,Very Important,Somewhat important,Critical,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,Yes,Maybe,No,"Documentation, Slack",Monthly,No,Good,Good,Good,Good,Installing flux on another server outside of LLNL.,It has been primarily to install flux but I have used it to install compilers as well.,The ability to install flux in a specific environment has been great. I've attempted to do it by hand and failed while spack was able to do it right away.,"Sometimes still can't compile right away and needs to be massaged. For instance, I'll need to install a specific dependency first and then install the desired package because something wasn't detected correctly.",Update the public library for installing packages as many seem to be behind several versions.,,,,,,,,,
5/2/2025 8:43:14,Computational Scientist,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,"C++, Python, sh/bash/other shell script","HPC / Simulation, AI/ML, Computer Science, Visualization, User Support, System Administration, DevOps",Word of mouth,10,"Packages, Core Features, Slack Discussions, GitHub Discussions, Issues, Tools/integrations",develop (1.0.0dev0),"macOS 10.15 (Catalina), RHEL 8, CentOS 7, Ubuntu 20, Ubuntu 22, Ubuntu 24","> 1,000","3.10, 3.11, 3.12","spack load, Spack environments, Environment Modules (TCL modules), spack build-env, Containers","Environments, Module generation, Stacks (matrices in environments), build-env (debug a build), Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, Distributed Builds (srun/mpirun spack install), spack develop, concretization: --fresh (build everything fresh), concretizer:unify:when_possible, Multiple build systems in one package, spack load, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.), E4S containers (https://e4s.io)",Yes -- just one,Yes,spack manager (https://sandialabs.github.io/spack-manager/),"AMD, Intel, ARM","NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, AMD MI200/250X, AMD MI300A, AMD MI300X","gcc, Intel OneAPI, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Very Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Slightly Important,Somewhat important,Slightly Important,Somewhat important,Not Important,Slightly Important,Slightly Important,Slightly Important,,Yes,No,No,"Documentation, Slack, GitHub Issues, Source Code",Monthly,Probably not,Good,Excellent,OK,Good,I mostly develop software using Spack and I deploy software on lots of different machines.,I use Spack mostly with spack-manager/exawind-manager to automate rebuilding my applications on several different machines.,Spack makes building and developing our software consistent between developers and machines.,"If we were to ever use Spack without a frontend like spack-manager, I think there would need to be some way to have Spack fingerprint a machine and automatically use configuration files I have for that machine. The convenience of an extension doing that is too good where I always see myself using an extension.","I think the complexity of package files is becoming problematic. Some people seem annoyed at the deprecation rate of package versions in Spack, but keeping the logic for all the necessary patches and workarounds seems unsustainable. I would much prefer the latest versions of packages be robust rather than care much about things like reproducibility, since I think reproducibility is generally impossible. My biggest time sink in using Spack is still how often packages break when building or concretizing and I need to submit PRs to implement workarounds and now the package logic with all these workarounds from over the years is getting difficult.",,,,,,,,,
5/2/2025 9:17:13,DevOps/SRE,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,"C++, Python","HPC / Simulation, DevOps",Used at my site,7,"Packages, Documentation, Slack Discussions, Issues, Spack Community Zoom Meetings","0.18, 0.23","RHEL 8, Rocky 9","> 1,000","3.10, 3.11","Lmod, Environment Modules (TCL modules)","Environments, Module generation, Stacks (matrices in environments), Build caches (making binary packages), Public build caches at cache.spack.io / binaries.spack.io, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible",Yes -- just one,My site has a front-end or extension to Spack,No,"AMD, Intel, ARM","NVIDIA Volta, NVIDIA Hopper, AMD MI200/250X, AMD MI300X","gcc, Intel OneAPI, nvcc (CUDA)",Critical,Slightly Important,Slightly Important,Not Important,Critical,Somewhat important,Slightly Important,Critical,Not Important,Not Important,Somewhat important,Slightly Important,Slightly Important,Not Important,Slightly Important,Not Important,,Not sure,No,Yes,"Documentation, Slack, Coworkers, GitHub Issues, spack help, ChatGPT / other LLMs",Weekly,No,Good,Excellent,Good,Good,Build and deploy a software stack for a project,We deploy software for a group of projects on multiple systems.,Environments,Finding compiler error messages in long logs.,,,Thank you for all you do.,,,,,,,
5/2/2025 9:27:08,DevOps/SRE,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,"Fortran, C++",HPC / Simulation,Word of mouth,6,"Packages, Slack Discussions, Issues","0.23, develop (1.0.0dev0)","RHEL 8, Ubuntu 24, SLES15, Windows Subsystem for Linux (WSL)",100 - 200,3.12,"Lmod, Custom script or env vars","Environments, Module generation, Mirrors (spack mirror create / air gap support), spack external find, Cray PE support (spack external read-cray-manifest), Externals in packages.yaml, Concretization preferences in packages.yaml, spack develop, concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), Variant/flag propagation (++, ~~, ==), spack test, spack load",Yes -- several,No,No,"AMD, Intel, ARM","NVIDIA Volta, NVIDIA Hopper, NVIDIA Blackwell, AMD MI300X","gcc, Classic Intel Compilers, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers), armclang",Somewhat important,Not Important,Not Important,Not Important,Somewhat important,Critical,Somewhat important,Somewhat important,Not Important,Not Important,Not Important,Not Important,Not Important,Very Important,Critical,Somewhat important,NA,Not sure,No,Yes,"Documentation, Slack, Coworkers, GitHub Issues",Monthly,Probably not,Good,Good,Good,Good,Installed LLVM on sles15.,,,(1) It is rare that I can build a full environment (~200 packages) without tweaking recipes manually.  (2) I often encounter packages that need internet access when building on an air-gap machine.,"Improve parallel build features to reduce build-out time, especially on compute nodes;  Better air-gap support.",NA,,,,,,,,
5/2/2025 9:40:50,Software Developer,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,"Fortran, C++, Python","HPC / Simulation, AI/ML, Visualization",Used at my site,10,"Packages, Slack Discussions, Issues","0.23, custom fork","macOS 13 (Ventura), macOS 14 (Sonoma), Ubuntu 20, Ubuntu 22, Ubuntu 24",200 - 500,"3.9, 3.10",Custom script or env vars,Environments,Yes -- several,No,uberenv,"AMD, Intel, ARM","NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, AMD MI200/250X, AMD MI300A, AMD MI300X, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers)",Very Important,Not Important,Slightly Important,Somewhat important,Somewhat important,Very Important,Slightly Important,Very Important,Somewhat important,Not Important,Slightly Important,Somewhat important,Not Important,Slightly Important,Slightly Important,Somewhat important,,Not sure,No,Yes,"Documentation, Slack, Coworkers, GitHub Issues",Yearly,No,Good,Good,Good,Good,update package recipe,automated tpl builds for software development processes and CI,breadth of package recipes,churn and opaque error messages,error messages and concretizer stability ,anari sdk,,,,,,,,
5/2/2025 10:39:51,Software Developer,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,"C++, Python",Statistics / Data Analysis,Word of mouth,2,"Slack Discussions, Spack User Meeting Talk",0.23,"RHEL 7, RHEL9",10 - 100,"3.9, 3.11",Spack environments,"Environments, Build caches (making binary packages), Concretization preferences in packages.yaml",Yes -- just one,No,No,"AMD, Intel",NVIDIA Other,gcc,Somewhat important,Not Important,Critical,Critical,Very Important,Slightly Important,Slightly Important,Slightly Important,Very Important,Slightly Important,Slightly Important,Somewhat important,Not Important,Not Important,Slightly Important,Very Important,,Yes,"Yes, I'm presenting!",No,Slack,Weekly,Probably,OK,Excellent,Good,Excellent,Creating environments,Creating environments that users develop their code in,"Easy to work with sytem packages, particularly GPUs",Lack of packages,Add more packages,Rogue (from SLAC),Keep up the good work!,,,,,,,
5/2/2025 10:42:35,Research Software Engineer (RSE),Company,United States,Python,"HPC / Simulation, System Administration",Search,0,Slack Discussions,0.23,"RHEL 8, RHEL9",1 - 10,"3.10, 3.11, 3.12, 3.13","spack load, Spack environments, Lmod, Containers","Environments, Module generation, spack containerize, Build caches (making binary packages), OCI build caches (pushing packages to container registries), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml",Yes -- just one,No,No,"AMD, Intel",NVIDIA Ampere,"gcc, Classic Intel Compilers, Intel OneAPI, LLVM, aocc",Somewhat important,Not Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not Important,Slightly Important,Not Important,Not Important,Not Important,Slightly Important,Slightly Important,Very Important,,Yes,No,No,"Documentation, Slack, GitHub Issues, ChatGPT / other LLMs",Weekly,Probably not,Good,Good,Good,Excellent,"Built NASA CFD software (Fortran) with AOCC, OpenMPI and external (OpenHPC-provided) libfabric.","I am considering using spack to deploy shared HPC software. I currently use it to test performance with alternative compilers/libraries. I have also experimented with building Docker container images directly, to be run with singularity + e4s-cl.","The ability to experiment with different compilers including Intel Classic, AOCC, etc.",,,,,,,,,,,
